"Local  Authorities  (Special  Provisions)",""
"","Act, No. 55 of 2007"
"14.","Pachchilaipalli  Pradeshiya  Sabha"
"15.","Karachchi Pradeshiya Sabha"
"16.","Poonakari  Pradeshiya  Sabha"
"17.","Mannar  Pradeshiya  Sabha"
"18.","Nanththan  Pradeshiya  Sabha"
"19.","Musali  Pradeshiya  Sabha"
"20.","Manthai West Pradeshiya Sabha"
"21.","Vavuniya  North  Pradeshiya  Sabha"
"22.","Vengalacheddikulam  Pradeshiya  Sabha"
"23.","Vavuniya  South  Tamil  Pradeshiya  Sabha"
"24.","Vavuniya  South  Sinhala  Pradeshiya  Sabha"
"25.","Manthai (East) Pradeshiya Sabha"
"26.","Thunukkai  Pradeshiya  Sabha"
"27.","Muhudubadapattu  Pradeshiya  Sabha"
