"Section","","Page No."
"307.","Appointment of special manager","238"
"308.","Inspection of books by creditors and contributories","238"
"309.","Power to order costs of winding up to be paid out of assets","238"
"310.","Power to summon persons suspected of having property of",""
"","company","238"
"311.","Power to order public examination of promoters, directors &c.","239"
"312.","Person or officer being examined to be represented by an",""
"","attorney-at-law, &c.","240"
"313.","Power to arrest absconding contributory","241"
"314.","Powers of court cumulative","241"
"315.","Delegation to liquidator of certain powers of court","241"
"316.","Dissolution of a company","242"
"317.","Manner of enforcing order of court","242"
"318.","Enforcement of winding up order in another court","242"
