"Section","","Page No."
"228.","Powers of court on application under section 224 or section 225.","183"
"229.","Effect of alteration of articles of company by order under",""
"","section 224 or 225","184"
"230.","Addition of respondents to application under section 224",""
"","or section 225","185"
"231.","Consequences of termination or modification of",""
"","certain agreements","185"
"232.","Extended meaning of “shareholder”","186"
"","RESTRAINING ORDERS",""
"233.","Restraining orders","187"
"","DERIVATIVE ACTIONS",""
"234.","Derivative  actions","187"
"235.","Costs of derivative action to be met by company","189"
"236.","Powers of court where leave is granted","189"
"237.","Compromise, settlement or continuance of",""
"","derivative  action","190"
"","RATIFICATION",""
"238.","Ratification of certain actions of directors","190"
"","PART VIII – AMALGAMATIONS",""
"239.","Amalgamations","190"
"240.","Amalgamation proposal","190"
"241.","Approval of amalgamation proposal","192"
"242.","Short form amalgamation","195"
"243.","Registration of amalgamation proposal","197"
"244.","Certificate of amalgamation","198"
"245.","Effect of certificate of amalgamation","198"
"246.","Powers to acquire shares of shareholders dissenting from",""
"","scheme or contract approved by majority","199"
