"68 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"","05.(17)  When a Pradeshiya Sabha intends to open a fish market in an area not covered by Solid Waste Management, the"
"","license  applicant  should  not 
issue  a  formal  waste  disposal  procedure  approved  by 
the  Chairman  of 
the"
"","Pradeshiya  Sabha  on the recommendation  of  the  Public  Health  Inspector's  Report  and  the  Medical  Officer  of"
"","Health."
"06.","Every  person  licensed  under  this  by-law  shall  maintain a  premises  for  the  sale  of  fish  in  accordance  with the"
"","following conditions:"
"","06.(1)  Wastewater drainage in the premises should be washed at least twice daily with disinfectant and rinsed in water."
"06.(2)","A  program  must  be  implemented  in  accordance  with  the  Waste  Management  Regulations  of  the  Pradeshiya"
"","Sabha for the disposal of waste in the relevant premises."
"","However,  when  the  permit  holder  of  the  premises  has  a  disposal  facility,  it  is  legal  to  dispose  of  the  waste"
"","subject  to  the  conditions  stipulated  by  the  Health  Medical  Officer  or  the  Public  Health  Inspector  with  the"
"","approval of the Pradeshiya Sabha."
"06.(3)","Under this By-Law, fish purchased for sale at a licensed premises should not be kept for sale unless the license"
"","holder  certifies  that  they  have  been  delivered  to  the  premises  in  a  well-sealed  vehicle,  box  or  other  suitable"
"","container under cold weather below 2 ° C."
"06.(4)","The floor and walls of the premises, packing fish, cutting equipment and other equipment and exhibits for sale"
"","of  fish  should  be  cleaned  with  disinfectant  liquid at the  end  of  the  day-to-day  operations  of  any  licensed  fish"
"","market."
"06.(5)","Any  licensed  fish  market  and  drains  in  and  around  it,  and  all  containers  and  equipment  used  for  storing,"
"","processing or selling fish should be properly repaired and free of odor."
"","06.(6)     I.   A well-functioning generator should be operated in the event of a power outage at all locations or markets"
"","where fish is stored in the fridge."
"","II.  Frozen fish for sale at the fish market should be placed in a room or cabinet below 2 ° C as soon as possible."
"","In all cases, fish should be protected from spoilage and combustion."
"06.(7)","Fresh fish for display at temperatures above 2 degrees Celsius at a fish market should not be sold or refilled for"
"","any reason in refrigerated or refrigerated air conditioned premises."
"06.(8)","Fish  placed  in  exhibit  refrigerators  in  a  fish  market  should  not  be  resold  for  any  reason,  either  favorable  or"
"","harmful, or in refrigerated or air conditioned premises."
"06.(9)","A licensed fish market must be kept free of dogs, cats, rats, or any other animal."
"","06.(10)  Do not store any harmful items except for the utensils or vessels used for storing, selling, displaying or selling"
"","fish in the licensed premises."
"","06.(11)  No packaging material or item that is in direct collision with printed paper or food should not be used for fish"
"","packing purposes on the premises."
