"62 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"5.(1)","Meat shall be kept open for sale, for sale, for sale, and for sale to a public place, road or road."
"5.(2)","The  certified  copies  of  certificates  or  certificates  certified  by  the  Public  Health  Inspector  to  be  issued  by  the"
"","Public Health Inspector should be submitted to certify that the meat which is for sale in a licensed meat shop is"
"","suitable for human consumption."
"5.(3)","If  the  flesh  of  an  animal  slaughtered  within  the  territory  of  a  meat  market  for  sale  in  a  licensed  place  is  not"
"","covered under this by-law, the meat may be kept in a well-closed vehicle or box or any other suitable container"
"","under cold conditions below 2 ° C. Unless the veterinary officer and the Public Health Inspector have certified"
"","that they have been delivered to the premises, such meat should be kept for sale. Should be."
"5.(4)","At  the  end  of  the  day-to-day  operations  of  any  licensed  meat market, the  site  shall  be  cleaned  with  sterilized"
"","disinfectant liquid, the floor, packaging, cutting tools and other equipment, and the place where the meat is sold."
"5.(5)","Any  licensed  meat  stall  and  drains  in  and  around  it,  and  all  vessels  and  utensils  used  in  connection  with  the"
"","storage, preparation or sale of meat, shall be kept in good repair and free of odor."
