"80 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"","5. (8)   Every person staying in a lodge shall present his / her identity to the licensee and place his / her signature in the"
"","guest  register  maintained  in  the  lodge.  The  Licensee  shall  not,  in  any  case,  lodge  in  any  part  of  the  Licensed"
"","Place a person who does not present his identity or sign the Column of the Identity Card in the visitor's register."
"5.(8)","The Licensee shall not, for any person who does not present his identity or sign the column of his or her identity"
"","information in the visitor register, lodge in any part of the License Place."
"5.(9)","Before  allowing  a  client  to  use  a  room,  the  room  must  be  kept  open  for  at  least  4  hours  Nevertheless,  license"
"","holders do not need to open or open any window when there is a need for a window closure under such a weather"
"","condition."
"","However, in case the room is air-conditioned, the provisions of this section shall not apply."
