",y.","","","","nrytpdk;
 nrytpdk;"
"","","","","&gh
      &gh"
"jiyg;G","292","fhy;eil  cw;gj;jp  kw;Wk;  Rfhjhuj;  jpizf;fsk;","",""
"","","epfo;r;rpj;jpl;lk;      01      nray;Kiwr;  nraw;ghLfs;","","841,150,000                73,000,000"
"","","epfo;r;rpj;jpl;lk;   02   mgptpUj;jpr; nraw;ghLfs;","","586,000,000
-"
"","","kpd;rf;jp kw;Wk; tYrf;jp mikr;R","",""
"","","","910,000,000",""
"5","","kPz;LtUk; nrytpdk;","",""
"","","%yjdr;  nrytpdk;","42,073,000,000",""
"","mikT  tUkhW  :—","","",""
"jiyg;G","119","kpd;rf;jp kw;Wk; tYrf;jp mikr;rh;","",""
"","","epfo;r;rpj;jpl;lk;      01      nray;Kiwr;  nraw;ghLfs;","","625,000,000                19,000,000"
"","","","",""
"10","","epfo;r;rpj;jpl;lk;   02   mgptpUj;jpr; nraw;ghLfs;","","285,000,000         42,054,000,000"
"","","Rw;Wyhj;Jiw  kw;Wk;  fhzp  mikr;R","",""
"","","kPz;LtUk; nrytpdk;","7,655,730,000",""
