"No","Parameter","Unit","Category A","Category B","Category C","Category D","Category E","Category F"
"1","Colour","Pt","20","-","-","100","-","-"
"","","mg/l, max","","","","","",""
"2","Electrical","µS/cm, max","-","-","-","-","700","-"
"","Conductivity","","","","","","",""
"3","Turbidty","NTU, max","5","-","-","-","-","-"
"4","TSS","mg/l, max","25","-","40","1,500","2,100","-"
"5","Total Hardness","mg/l","250 des","-","-","-","-","-"
"","(as CaCO3)","","600 max","","","","",""
"6","pH","-","6.0-8.5","6.0-9.0","6.0-8.5","6.0-9.0","6.0-8.5","5.5-9.0"
"7","DO at 250 C","mg/l, minimum","6","5","5","4","3","3"
"8","BOD5 at 200 C","mg/l, max","3","4","4","5","12","15"
"9","COD","mg/l, max","10","10","15","30","-","40"
"10","NO3 -N","mg/l, max","10","10","10","10","-","10"
"","NH3-N","","-","-","","","",""
"","pH<7.5","","-","-","0.94","-","-","9.1"
"11","7.5 < p H < 8.5","mg/l, max","-","-","0.59","-","-","4.9"
"","8.5 < pH","","","","0.22","-","-","1.6"
"12.","PO 4- P","mg/l, max","0.7","0.7","0.4","0.7","-","-"
"13.","Choride (CI)","mg/l, max","250","-","-","250","600","-"
"14.","CN","mg/l, max","0.05","0.05","0.05","0.05","0.05","0.05"
"15.","F","mg/l, max","1.5","-","-","1.5","-","-"
"","2–","","","","","","",""
"16.","SO4","mg/l, max","250","-","-","250","1,000","-"
"17.","Cd, total","µg/l, max","5","-","5","5","-","5"
"18.","Cr, total","µg/l, max","50","-","20","50","-","50"
"19.","Cu, total","µg/l, max","-","-","100","-","-","100"
"20.","Fe,total","µg/l","300des","-","-","2,000","-","-"
"","","","1,000 max","","","","",""
"21.","Pb,total","","","","","","",""
"","Hardness<120","µg/l, max","50","-","2","50","-","-"
"","120<Hardness","","","","3","","",""
"","<180","","","","","","",""
"","180<Hardness","","","","4","","",""
"22.","Mn, total","µg/l, max","1,000","1,000","1,000","1,000","1,000","1,000"
"23.","Hg, total","µg/l, max","1","1","1","1","2","2"
"24.","Ni,total","µg/l, max","70","100","100","100","200","100"
"25.","Se,total","µg/l, max","10","10","5","10","-","-"
