"","issued to that place shall be revoked by the Chairman. Must be legal."
"12.","All permits issued under this by-law shall expire on or after 31st December of the year in which the license was"
"","issued, unless previously revoked."
"13.","It  is  an  offense  to  maintain  a  place  of  sale  of  meat  or  violate  any  of  the  provisions  of  this  by-law  without  a"
"","license  under this  by-law,  and the  offense  shall  be  committed  by  a  competent  court  of  competent  jurisdiction."
"","Subject  to  a  fine  referred  to  in  subsection  122  (2).When  a  person  who  has  been  found  guilty  of  an  offense"
"","continues  to  pursue  such  violation  or  violation  by  a  court  of  competent  jurisdiction  over  such  offense,  the"
"","Chairman  or  the  Medical  Officer  of  Health  or  the  Public  Health  Inspector  shall  issue  a  written  notice  of  the"
"","violation.  Each  subsequent  day  the  violation  continues  N̆ dahāma  should  be  subjected  to  the  additional  fine"
"","above section."
"","Interpretation"
"14.","Unless otherwise necessary in the case of verses"
"","""Chairman""  shall mean  the  person holding  the  office  of  Chairman  of  this  Pradeshiya  Sabha  or performing  the"
"","functions of that office."
"","""Pradeshiya Sabha"" shall mean Balangoda Pradeshiya Sabha"
"","""Area"" shall mean the Balangoda Pradeshiya Sabha authoritative area."
"",""" Medical Officer of Health "" shall mean the person holding the office of any Medical Officer of Health in the"
"","area of the Divisional Council area."
