"wkq'","rg","rfgys","jHjydr","jHjydr","úksuh"
"wxlh","","ixfla;h","u
o,a","u
o,a","wkqmd;"
"","","","","ixfla;h","^
r
e
m
h,a&"
"1'","TiafÜ%,shdj","AU","TiafÜ%,shdkq fvd,¾","AUD","202.0786"
"2'","nyf¾ka","BH","nyf¾ka äkd¾","BHD","811.0031"
"3'","nx.a,dfoaYh","BD","nx.a,dfoaY gld","BDT","2.5128"
"4'","n%iS,h","BR","n%is,a ßhd,a","BRL","57.6400"
"5'","nDDkdhs","BN","nDDkdhs fvd,¾","BND","238.4476"
"6'","lekvdj","CA","lefkaähdkq fvd,¾","CAD","221.6088"
"7'","Ökh","CN","Ök hqjdka ^´*afIda&","CNH","42.9893"
"8'","Ökh","CN","Ök hqjdka ^frkañkaì&","CNY","42.9806"
"9'","fpfldiaf,djelshdj","CZ","fpfldiaf,djela fldrekd","CZK","14.8242"
"10'","fvkaud¾lh","DK","fvkaud¾l fl%dak¾","DKK","48.2623"
"11'","Bðma;=j","EG","Bðma;= mjqï","EGP","6.3459"
"12'","hQfrda l,dmh","","hQfrda","EUR","360.2124"
"13'",">dkdj","GH",">dkd fiä","GHS","24.9233"
"14'","fydx fldx","HK","fydx fldx fvd,¾","HKD","39.3205"
"15'","yxf.aßhdj","HU","yxf.aßhdkq f*dßkaÜ","HUF","0.9246"
"16'","bkaÈhdj","IN","bkaÈhdkq remsh,a","INR","3.4679"
"17'","bkaÿkSishdj","ID","bkaÿkSishdkq remshd","IDR","0.0185"
"18'","brdkh","IR","brdk ßhd,a","IRR","0.0073"
"19'","cmdkh","JP","cmdk fhka","JPY","2.0665"
"20'","fcda¾odkh","JO","fcda¾odk äkd¾","JOD","431.3244"
"21'","fldßhdj","KR","fldßhdkq fjdka","KRW","0.2194"
"22'","l=fõÜ","KW","l=fõÜ äkd¾","KWD","1,001.7000"
"23'","ueldjq","MO","ueldjq mgld","MOP","38.1546"
"24'","u,hdishdj","MY","uef,aishdkq ßx.sÜ","MYR","72.6819"
"25'","ud,Èjhsk","MV","ud,Èjhska remshd","MVR","19.7807"
"26'","uqreish","MU","uqreis remsh,a","MUR","6.7567"
"27'","ñhkaud¾","MM","ñhkaudr lahdÜ","MMK","0.1456"
"28'","fkamd,h","NP","fkamd, remsh,a","NPR","2.1687"
"29'","kjiS,ka;h","NZ","kjiS,ka; fvd,¾","NZD","179.9074"
"30'","khsÔßhdj","NG","khsÔßhdkq khsrd","NGN","0.2047"
"31'","fkda¾fõ","NO","fkda¾ùðhdkq fl%dak¾","NOK","30.9040"
"32'","´udkh","OM","´udka ßhd,a","OMR","794.2472"
"33'","mlsia:dkh","PK","mlsia:dkq remsh,a","PKR","1.0776"
"34'","memqjd ksõ.skshdj","PG","memqjd ksõ .skshdkq lskd","PGK","73.2413"
"35'","ms,smSkh","PH","ms,smSkh fmfida","PHP","5.3484"
"36'","fmda,ka;h","PL","fmda,ka; iaf,dá","PLN","84.5325"
"37'","lgd¾","QA","lgd¾ ßhd,a","QAR","83.8936"
