"","","Capital                          2,069,520,000","","",""
"","Made  up  as  follows:-","","","",""
"Head","1","His  Excellency  the  President","","",""
"","","Programme  01","Operational  Activities","2,593,180,000","759,000,000"
"","","Programme  02","Development  Activities","-","500,000,000"
"Head","2","Office  of  the  Prime  Minister","","",""
"","","Programme  01","Operational  Activities","902,250,000","149,500,000"
"Head","4","Judges  of  the  Superior  Courts","","",""
"","","Programme  01","Operational  Activities","198,850,000","54,150,000"
"Head","5","Office  of  the  Cabinet  of  Ministers","","",""
"","","Programme  01","Operational  Activities","178,550,000","41,100,000"
"Head","6","Office  of  the  Public  Service  Commission","","",""
"","","Programme  01","Operational  Activities","233,600,000","13,250,000"
"Head","7","Judicial  Service  Commission","","",""
"","","Programme  01","Operational  Activities","88,860,000","31,100,000"
"Head","8","National  Police  Commission","","",""
"","","Programme  01","Operational  Activities","161,430,000","6,600,000"
