"7 9","State  Minister  of  Canals  and","","","","",""
"","Common  Infrastructure","","","","",""
"","Development  in  Settlements  in","","","","",""
"","Mahaweli  Zones","42801 Advances  to  Public  Officers","4,000,000","400,000","10,000,000","—"
"8 0","State  Minister  of  Tanks,  Reservoirs","","","","",""
"","and  Irrigation  Development    related","","","","",""
"","to  Rural  Paddy  Fields","42901 Advances  to  Public  Officers","7,000,000","1,500,000","15,000,000","—"
"8 1","State  Minister  of  Land  Management,","","","","",""
"","State  Enterprises,  Land  and  Property","","","","",""
"","Development","43001 Advances  to  Public  Officers","6,000,000","","600,000     12,000,000","—"
"8 2","State  Minister  of  Coconut,  Kithul","","","","",""
"","and  Palmyrah  Cultivation","","","","",""
"","Promotion  and  Related  Industrial","","","","",""
"","Product  Manufacturing    and  Export","","","","",""
"","Diversification","43101 Advances  to  Public  Officers     20,000,000","","8,000,000","60,000,000","—"
"8 3","State  Minister  of  Development  of","","","","",""
"","Minor  Crops  Plantation  Including","","","","",""
"","Sugar  cane,  Maize,  Cashew,  Pepper,","","","","",""
"","Cinnamon,  Cloves,  Betel  Related","","","","",""
"","Industries  and  Export  Promotion.","43201 Advances  to  Public  Officers","3,500,000","1,000,000","35,000,000","—"
"8 4","State  Minister  of    Rural  and","","","","",""
"","Divisional    Drinking  Water  Supply","","","","",""
"","Projects  Development","43301 Advances  to  Public  Officers","5,000,000","800,000     12,000,000","","—"
