"","","Rs.
Rs."
"Made  up  as  follows  :-","",""
"Head 426","State  Minister  of    Production  and  Supply  of  Fertilizer  and",""
"","Regulation  of    Chemical  Fertilizer  and  Insecticide  Use",""
"","Programme  01  Operational  Activities","379,500,000             22,200,000"
"","Programme  02
Development  Activities","35,050,000,000
           84,000,000"
"","State  Ministry  of  Livestock,  Farm  Promotion  and  Dairy  and",""
"","Egg  Related  Industries",""
"","Recurrent                               983,950,000",""
"","Capital                                 1,846,700,000",""
"Made  up  as  follows  :-","",""
"Head 427","State  Minister  of  Livestock,  Farm  Promotion  and  Dairy  and",""
"","Egg  Related  Industries",""
"","Programme  01
Operational  Activities","334,150,000
  18,700,000"
"","Programme  02
Development  Activities","-
    1,042,000,000"
"Head 292","Department  of  Animal  Production  and  Health",""
"","Programme  01
Operational  Activities","649,800,000
          67,000,000"
"","Programme  02
Development  Activities","-
  719,000,000"
"","Ministry  of  Power",""
"","Recurrent
307,850,000",""
"","Capital
5,100,000",""
