"184","Department  of  Surveyor  General","","","","",""
"","of  Sri  Lanka","","28801 Advances  to  Public  Officers    135,000,000    134,000,000  450,000,000","","","—"
"185","","Department  of  Export  Agriculture 28901 Advances  to  Public  Officers     47,000,000","","35,000,000   130,000,000","","—"
"186","Department  of  Fisheries  and","","","","",""
"","Aquatic  Resources","","29001 Advances  to  Public  Officers     30,000,000     22,000,000   110,000,000","","","—"
"187","Department  of  Coast  Conservation","","","","",""
"","","and  Coastal  Resource  Management 29101 Advances  to  Public  Officers     15,000,000","","9,500,000     48,000,000","","—"
"188","Department  of  Animal  Production","","","","",""
"","and  Health","29201 Advances  to  Public  Officers","40,000,000","23,000,000   120,000,000","","—"
"189","Department  of  Rubber","","","","",""
"","Development","","29301 Advances  to  Public  Officers     21,000,000     15,000,000","","60,000,000","—"
"190","Department  of  National  Zoological","","","","",""
"","Gardens","29401 Advances  to  Public  Officers","","38,000,000     15,000,000   105,000,000","","—"
"191","Department  of  Commerce","29501 Advances  to  Public  Officers","6,500,000","3,500,000","22,000,000","—"
"192","Department  of  Import  and  Export","","","","",""
"","Control","29601 Advances  to  Public  Officers","5,100,000","2,500,000","20,000,000","—"
"193","Department  of  the  Registrar  of","","","","",""
"","Companies","29701 Advances  to  Public  Officers","8,600,000","3,700,000","25,000,000","—"
"194","Department  of  Measurement  Units,","","","","",""
"","Standards  and  Services","29801 Advances  to  Public  Officers","8,000,000","4,500,000","33,000,000","—"
"195","National  Intellectual  Property","","","","",""
"","Office  of  Sri  Lanka","29901 Advances  to  Public  Officers","5,500,000","2,000,000","17,000,000","—"
"196","Department  of  Food  Commissioner","30001 Advances  to  Public  Officers","7,000,000","3,800,000","42,000,000","—"
"197","Department  of  Co-operative","","","","",""
"","Development  (Registrar  of","","","","",""
"","Co-operative  Societies)","30101 Advances  to  Public  Officers","7,500,000","3,000,000","30,000,000","—"
