"","","Ministry  of  Co-operatives  and  Internal  Trade","","",""
"","","Recurrent","707,000,000","",""
"","","Capital","600,000,000","",""
"Made  up  as  follows  :—","","","","",""
"Head","116","Minister  of  Co-operatives  and  Internal  Trade","","",""
"","","Programme  01","Operational  Activities","397,633,000","267,645,000"
"","","Programme  02","Development  Activities","—","243,000,000"
"Head","298","","Department  of  Measurement  Units,  Standards  and  Services","",""
"","","Programme  01","Operational  Activities","59,055,000","40,500,000"
"Head","300","Department  of  Food  Commissioner","","",""
"","","Programme  01","Operational  Activities","189,637,000","32,475,000"
"Head","301","","Department  of  Co-operative  Development  (Registrar  of  Co-operative  Societies)","",""
"","","Programme  01","Operational  Activities","49,615,000","16,145,000"
"Head","302","Co-operative  Employees  Commission","","",""
"","","Programme  01","Operational  Activities","11,060,000","235,000"
