"","Unit,  Ministry/Department  or","Law  under  which","Expenditure  Programme","Recurrent","Capital","Total"
"Head","Institution  by  whom","expenditure  is","","","",""
"No.","expenditure  is  incurred","authorised","","Rs.","Rs.","Rs."
"1","His  Excellency  the  President","Article  36  of  the    Constitution","Programme  01-","1,470,000","—","1,470,000"
"","","","Operational","","",""
"","","","Activities","","",""
"4","Judges  of  the  Superior  Courts","Article  108  of  the  Constitution","Programme  01-","28,000,000","—","28,000,000"
"","","","Operational","","",""
"","","","Activities","","",""
"6","Public  Service  Commission","Chapter  IX    of  the  Constitution","Programme  01-","3,660,000","—","3,660,000"
"","","","Operational","","",""
"","","","Activities","","",""
"7","Judicial  Service  Commission","Chapter    XV  A    of  the","Programme  01-","1,227,000","—","1,227,000"
"","","Constitution","Operational","","",""
"","","","Activities","","",""
"8","National  Police  Commission","Chapter    XV  III  A    of  the","Programme  01-","3,113,000","—","3,113,000"
"","","Constitution","Operational","","",""
"","","","Activities","","",""
