"Head","305","Department  of  Up-Country  Peasantry  Rehabilitation","","",""
"","","Programme  02","Development  Activities","16,115,000","1,225,000"
"Head","322","Department  of  National  Botanical  Gardens","","",""
"","","Programme  02","Development  Activities","171,215,000","360,250,000"
"","","Ministry  of  Disaster  Management","","",""
"","","Recurrent","","635,000,000",""
"","","Capital","","784,000,000",""
"Made  up  as  follows  :—","","","","",""
"Head","106","Minister  of  Disaster  Management","","",""
"","","Programme  01","Operational  Activities","100,750,000","70,160,000"
"","","Programme  02","Development  Activities","352,600,000","369,970,000"
"Head","304","Department  of  Meteorology","","","Appropriation  Act, No. 52 of 2011"
"","","Programme  02","Development  Activities","181,650,000","343,870,000"
"","","Ministry  of  Postal  Services","","",""
"","","Recurrent","7,853,000,000","",""
"","","Capital","","346,200,000",""
"Made  up  as  follows  :—","","","","",""
"Head","108","Minister  of  Postal  Services","","",""
"","","Programme  01","Operational  Activities","77,980,000","15,700,000"
"","","Programme  02","Development  Activities","4,000,000","196,000,000"
"Head","308","Department  of  Posts","","",""
"","","Programme  01","Operational  Activities","7,771,020,000","13
134,500,000"
