"239","Department  of  External","The  Bretton  Woods
Programme  01-","","79,800,000    460,000,000 539,800,000",""
"","Resources","Agreement  (Special  Provisions) Operational","","",""
"","","Act,  No.  10  of  1978
Activities","","",""
"249","Department  of  Treasury","Ceylon  Development  Loans","Programme  01-        364,000,000,000  550,000,000,000  914,000,000,000","",""
"","","Act  (Chp.  407),  National
Activities","","",""
"","","Development  Loan  Ordinance","","",""
"","","(Chp.  408),  National","","",""
"","","Development  Loan  Act","","",""
"","","(Chp.  409),  Registered  Stock","","",""
"","","and  Securities  Ordinance,","","",""
"","","Foreign  Loans  Act  No.  29","","",""
"","","of  1957  (as  amended)","","",""
"253","Department  of  Pensions","Widows’  and  Orphans’  Pension
Programme  01-","21,130,000,000","—","21,130,000,000"
"","","Fund  Ordinance  No.  01  of  1898 Operational","","",""
"","","(Chp.  431),  Widowers  and
Activities","","",""
"","","Orphans’  Pensions  Act","","",""
"","","No.  24  of  1983,","","",""
"","","Widows’  and  Orphans’","","",""
"","","Pension  Scheme(Armed  Forces)","","",""
"","","Act  No.  18  of  1970,  School","","",""
"","","Teachers  Pension  Act  No.  44","","",""
"","","of  1953  (Chp.  432)","","",""
