"","Asian Infrastructure Investment Bank Agreement","","41"
"","(Ratification) Act, No. 7 of 2016","",""
"Germany","44,842","4,484.2",""
"Iceland","176","17.6",""
"Italy","25,718","2,571.8",""
"Luxembourg","697","69.7",""
"Malta","136","13.6",""
"Netherlands","10,313","1,031.3",""
"Norway","5,506","550.6",""
"Poland","8,318","831.8",""
"Portugal","650","65.0",""
"South Africa","5,905","590.5",""
"Spain","17,615","1,761.5",""
"Sweden","6,300","630.0",""
"Switzerland","7,064","706.4",""
"United Kingdom","30,547","3,054.7",""
"Unallocated","2,336","233.6",""
"TOTAL","250,000","25,000.0",""
"GRAND TOTAL","1,000,000","100,000.0",""
