"40","Asian Infrastructure Investment Bank Agreement",""
"","(Ratification) Act, No. 7 of 2016",""
"","Number of Shares","Capital Subscription"
"","","(in million $)"
"Nepal","809","80.9"
"New Zealand","4,615","461.5"
"Oman","2,592","259.2"
"Pakistan","10,341","1,034.1"
"Philippines","9,791","979.1"
"Qatar","6,044","604.4"
"Russia","65,362","6,536.2"
"Saudi Arabia","25,446","2,544.6"
"Singapore","2,500","250.0"
"Sri Lanka","2,690","269.0"
"Tajikistan","309","30.9"
"Thailand","14,275","1,427.5"
"Turkey","26,099","2,609.9"
"United Arab Emirates","11,857","1,185.7"
"Uzbekistan","2,198","219.8"
"Vietnam","6,633","663.3"
"Unallocated","16,150","1,615.0"
"TOTAL","750,000","75,000.0"
