"Class","Depreciable  Assets"
"1","computers  and  data  handling  equipment  together  with"
"","peripheral  devices."
"2","buses  and  minibuses,  goods  vehicles;  construction  and  earth-"
"","moving  equipment,  heavy  general  purpose  or  specialised"
"","trucks,  trailers  and  trailer-mounted  containers;  plant  and"
"","machinery  used  in  manufacturing."
"3","railroad  cars,  locomotives,  and  equipment;  vessels,  barges,"
"","tugs,  and  similar  water  transportation  equipment;  aircraft;"
"","specialised  public  utility  plant,  equipment,  and  machinery;"
"","office  furniture,  fixtures,  and  equipment;  any  depreciable"
"","asset  not  included  in  another  class."
