"ශීර්ෂ","","","පුනරාවරතන","මූලධන",""
"අ
ං
කය","","","වියදම්","වියදම්",""
"","","","රු
.","රු
.",""
"ශීර්්ෂ","8","ජාතික ළපාලිසේ ළකාමි්ෂන් ස්භාව","","",""
"","","වැඩසටහන 01
ළමළහයුේ වැඩසටහන","224,400,000","12,500,000",""
"ශීර්්ෂ","9","පරිපාලන අභියාචන විනිශේචය අධිකාරිය","","",""
"","","වැඩසටහන 01
ළමළහයුේ වැඩසටහන","48,600,000","900,000",""
"ශීර්්ෂ","10","අල්ලසේ ළහාේ දූ්ෂණ ළචාේදනා විමර්ශන ළකාමි්ෂන් ස්භාව","","",""
"","","වැඩසටහන 01
ළමළහයුේ වැඩසටහන","945,700,000","411,500,000",""
"ශීර්්ෂ","11","මුදල් ළකාමි්ෂන් ස්භා කාර්යාලය","","",""
"","","වැඩසටහන 01
ළමළහයුේ වැඩසටහන","132,200,000","800,000","2025 අංක 3 දරන විසර්ජන පනත"
"ශීර්්ෂ","13","ශ්‍රී ලංකා මානව හිමිකේ ළකාමි්ෂන් ස්භාව","","",""
"","","වැඩසටහන 01
ළමළහයුේ වැඩසටහන","358,500,000","90,500,000",""
"ශීර්්ෂ","16","පාර්ලිළේන්තුව","","",""
"","","වැඩසටහන 01
ළමළහයුේ වැඩසටහන","4,208,300,000","940,200,000",""
"ශීර්්ෂ","17","පාර්ලිළේන්තුළේ ස්භානායකතුමාළේ කාර්යාලය","","",""
"","","වැඩසටහන 01
ළමළහයුේ වැඩසටහන","73,500,000","4,500,000",""
"ශීර්්ෂ","18","පාර්ලිළේන්තුළේ ආණ්ඩු පක්්ෂළේ ප්‍රධාන සංවිධායකතුමාළේ කාර්යාලය","","",""
"","","වැඩසටහන 01
ළමළහයුේ වැඩසටහන","86,100,000","2,400,000",""
"ශීර්්ෂ","19","පාර්ලිළේන්තුළේ විපක්්ෂ නායකතුමාළේ කාර්යාලය","","",""
"","","වැඩසටහන 01
ළමළහයුේ වැඩසටහන","321,050,000","9,950,000",""
