"ව
ැ
ය","වියදේ දරණ ඒකකය/","වියදේ සඳහා බලය ළදන","වියදේ වැඩසටහන පුනරාවර්තන වියදම","","මූලධන","මුළු"
"ශීර්්ෂ","අමාත‍යාංශය/","ලද ආණ්ඩුක්‍රම ව‍යවසේථාළේ","","රු
.","වියදම","වියදම"
"අ
ං
කය","ළදපාර්තළේන්තුව /","සහ නීතිළේ ප්‍රතිපාදනය","","","රු
.","රු
."
"","ආයතනය","","","","",""
"10","අල්ලසේ ළහාේ දූ්ෂණ","2023 අංක 9 දරන දූ්ෂණ","වැඩසටහන 01","16,800,000","-","16,800,000"
"","ළචාේදනා විමර්්ෂන","විළරාේධී පනත","ළමළහයුේ","","",""
"","ළකාමි්ෂන් ස්භාව","","වැඩසටහන","","",""
"16","පාර්ලිළේන්තුව","ආණ්ඩුක්‍රම ව‍යවසේථාළේ","වැඩසටහන 01","1,500,000","-","1,500,000"
"","","65 වන ව‍යවසේථාව","ළමළහයුේ","","",""
"","","","වැඩසටහන","","",""
"20","මැතිවරණ ළකාමි්ෂන්","ආණ්ඩුක්‍රම ව‍යවසේථාළේ","වැඩසටහන 01","6,000,000","-","6,000,000"
"","ස්භාව","103 වන ව‍යවසේථාව","ළමළහයුේ","","",""
"","","","වැඩසටහන","","",""
"21","ජාතික විගණන","ආණ්ඩුක්‍රම ව‍යවසේථාළේ","වැඩසටහන 01","1,700,000","-","1,700,000"
"","කාර්යාලය","153 වන ව‍යවසේථාව","ළමළහයුේ","","",""
"","","","වැඩසටහන","","",""
"22","පරිපාලන කටයුතු","ආණ්ඩුක්‍රම ව‍යවසේථාළේ","වැඩසටහන 01","1,700,000","-","1,700,000"
"","පිළිබඳ පාර්ලිළේන්තු","156 වන ව‍යවසේථාව","ළමළහයුේ","","",""
"","ළකාමසාරිසේ කාර්යාලය","","වැඩසටහන","","",""
"23","විගණන ළසේවා ළකාමි්ෂන්","ආණ්ඩුක්‍රම ව‍යවසේථාළේ","වැඩසටහන 01","5,200,000","-","5,200,000"
"","ස්භාව","153 (අ) වන ව‍යවසේථාව","ළමළහයුේ","","",""
"","","","වැඩසටහන","","",""
"24","ජාතික ප්‍රසේපාදන","ආණ්ඩුක්‍රම ව‍යවසේථාළේ","වැඩසටහන 01","6,000,000","-","6,000,000"
"","ළකාමි්ෂන් ස්භාව","156 (ආ) වන ව‍යවසේථාව","ළමළහයුේ","","",""
"","","","වැඩසටහන","","",""
"111","ළසෞඛ‍ය සහ ජනමාධ‍ය","වවද‍ය ආඥාපනත","වැඩසටහන 01","2,000","-","2,000"
"","අමාත‍යාංශය","(105 වන අධිකාරය)","ළමළහයුේ","","",""
"","","","වැඩසටහන","","",""
