"","","","යදවන උපයල්ඛනය","","",""
"","","ආණ්ඩුක්‍රම ව‍යව�ේථාව �හ යවනත් නීති මගින් බලය ලැබී ඇති ඒකාබදධ අරමුදලට වැය බරක් විය යුතු රජයේ වියදම්","","","",""
"ව
ැ
ය","වියදේ දරන ඒකකය/","වියදේ සඳහා බලය ළදන","වියදේ වැඩසටහන පුනරාවර්තන වියදම","","මූලධන","මුළු"
"ශීර්්ෂ","අමාත‍යාංශය/","ලද ආණ්ඩුක්‍රම ව‍යවසේථාළේ","","රු
.","වියදම","වියදම"
"අ
ං
කය","ළදපාර්තළේන්තුව /","සහ නීතිළේ ප්‍රතිපාදනය","","","රු
.","රු
."
"","ආයතනය","","","","",""
"1","අතිගරු ජනාධිපති","ආණ්ඩුක්‍රම ව‍යවසේථාළේ","වැඩසටහන 01","7,020,000","-","7,020,000"
"","","36 වන ව‍යවසේථාව","ළමළහයුේ","","",""
"","","","වැඩසටහන","","",""
"4","උපරිමාධිකරණවල","ආණ්ඩුක්‍රම ව‍යවසේථාළේ","වැඩසටහන 01","95,000,000","-","95,000,000"
"","විනිශේචයකාරවරු","108 වන ව‍යවසේථාව","ළමළහයුේ","","",""
"","","","වැඩසටහන","","",""
"6","රාජ‍ය ළසේවා ළකාමි්ෂන්","ආණ්ඩුක්‍රම ව‍යවසේථාළේ","වැඩසටහන 01","10,260,000","-","10,260,000"
"","ස්භා කාර්යාලය","වන පරිචළේදය","ළමළහයුේ","","",""
"","","","වැඩසටහන","","",""
"","","IX","","","",""
"7","අධිකරණ ළසේවා","ආණ්ඩුක්‍රම ව‍යවසේථාළේ","වැඩසටහන 01","2,700,000","-","2,700,000"
"","ළකාමි්ෂන් ස්භාව","අ වන පරිචළේදය","ළමළහයුේ","","",""
"","","","වැඩසටහන","","",""
"","","XV","","","",""
"8","ජාතික ළපාලිසේ ළකාමි්ෂන්","ආණ්ඩුක්‍රම ව‍යවසේථාළේ","වැඩසටහන 01","8,100,000","-","8,100,000"
"","ස්භාව","අ වන පරිචළේදය","ළමළහයුේ","","",""
"","","","වැඩසටහන","","",""
"","","XVIII","","","",""
