"","","","I","IIII","IIIIII","IVIV","V"
"","","","அரெ தெயற்்பொடுகள்","அரெொங்கத்�ின்","அரெ  தெயற்்பொடு","அரெ தெயற்்பொட்டு","அரெ தெயற்்பொட்டு"
"த�ொத�ொ","","","","","","",""
"","அமைைச்சுக்கள் /","தெலவின","","தெயற்்பொடுகளின்","வரவிற்கொன","்பற்று ைீ�ிக்கொன","த்பொறுப்புகளிள்"
"டொ்டொ்","","","","","","",""
"","�ிமை�க்களங்கள்","இல.இல.","","தெலவினத்�ின்","ஆகக் குமைைந்�","உச்ெ எல்மைலகள்","உச்ெ எல்மைலகள்"
"இல.இல.","","","","","","",""
"","","","","உச்ெ எல்மைலகள்","எல்மைலகள்","ரூ்பொரூ்பொ","ரூ்பொரூ்பொ"
"","","","","ரூ்பொரூ்பொ","ரூ்பொரூ்பொ","",""
"144","மதெிய​மிருகக்கறாட்ெி​","29401","அைெ​","","","",""
"","ெறாணலகள்​திணைக்களம்","","அலுவலர்களுக்கறான​","","","",""
"","","","முற்்பைம்","43,000,000​","​28,000,000​","​134,000,000​","​-​"
"145","வர்த்தகத்​திணைக்களம்","29501","அைெ​","","","",""
"5","","","அலுவலர்களுக்கறான​","","","",""
"","","","முற்்பைம்","7,000,000​","​3,000,000​","​15,000,000​","​-​"
"146","இ்றக்குமதி​மற்றும்​","29601","அைெ​","","","",""
"","ஏற்றுமதிக்​கட்டுப்்பறாட்டுத்​","","அலுவலர்களுக்கறான​","","","",""
"","திணைக்களம்","","முற்்பைம்","12,000,000​","8,000,000​","​31,000,000​","​-​"
"147
10","கம்்பனிகள்​்பதிவறாளர்​","29701","அைெ​","","","",""
"","திணைக்களம்","","அலுவலர்களுக்கறான​","","","",""
"","","","முற்்பைம்","​15,000,000​","​9,000,000​","55,000,000​","​-​"
"148","அளவுக்​கூறுகள்,​","29801","அைெ​","","","",""
"","கட்்டணளகள்​மற்றும்​","","அலுவலர்களுக்கறான​","","","",""
"15","மெணவகள்​திணைக்களம்","","முற்்பைம்","18,000,000​","​9,000,000​","​45,000,000​","​-​"
"149","மதெிய​புலணமச்செறாத்து​","29901","அைெ​","","","",""
"","இலங்ணக​அலுவலகம்","","அலுவலர்களுக்கறான​","","","",""
"","","","முற்்பைம்","​7,000,000​","​5,000,000​","​50,000,000​","​-​"
"150","உைவு​ஆணையறாளர்​","30001","அைெ​","","","",""
"20","திணைக்களம்","","அலுவலர்களுக்கறான​","","","",""
"","","","முற்்பைம்","​6,000,000​","​4,000,000​","​25,000,000​","​-​"
"151","கூட்டு்றவு​அ்பிவிருத்தி​","30101","அைெ​","","","",""
"","(கூட்டு்றவுச்​ெங்கங்கள்​","","அலுவலர்களுக்கறான​","","","",""
"","்பதிவறாளர்)​திணைக்களம்","","முற்்பைம்","​7,000,000​","​5,000,000​","​15,000,000​","​-​"
