"","","","","I","IIII","IIIIII","IVIV","V"
"","","","","அரெ தெயற்்பொடுகள்","அரெொங்கத்�ின்","அரெ  தெயற்்பொடு","அரெ தெயற்்பொட்டு","அரெ தெயற்்பொட்டு"
"","த�ொத�ொ","","","","","","",""
"","","அமைைச்சுக்கள் /","தெலவின","","தெயற்்பொடுகளின்","வரவிற்கொன","்பற்று ைீ�ிக்கொன","த்பொறுப்புகளிள்"
"","டொ்டொ்","","","","","","",""
"","","�ிமை�க்களங்கள்","இல.இல.","","தெலவினத்�ின்","ஆகக் குமைைந்�","உச்ெ எல்மைலகள்","உச்ெ எல்மைலகள்"
"","இல.இல.","","","","","","",""
"","","","","","உச்ெ எல்மைலகள்","எல்மைலகள்","ரூ்பொரூ்பொ","ரூ்பொரூ்பொ"
"","","","","","ரூ்பொரூ்பொ","ரூ்பொரூ்பொ","",""
"","108","மறாவட்்டச்​செயலகம்,​","25901","அைெ​","","","",""
"","","மறாத்தணள","","அலுவலர்களுக்கறான​","","","",""
"","","","","முற்்பைம்","​150,000,000​","100,000,000​","​370,000,000​","​-​"
"","109","மறாவட்்டச்​செயலகம்,​","26001","அைெ​","","","",""
"5","","நுவசைலியறா","","அலுவலர்களுக்கறான​","","","",""
"","","","","முற்்பைம்","​97,000,000​","76,000,000​","​227,000,000​","​-​"
"","110","மறாவட்்டச்​செயலகம்,​","26101","அைெ​","","","",""
"","","கறாலி","","அலுவலர்களுக்கறான​","","","",""
"","","","","முற்்பைம்","​257,000,000​","​180,000,000​","​853,000,000​","​-​"
"10","111","மறாவட்்டச்​செயலகம்,​","26201","அைெ​","","","",""
"","","மறாத்தண்ற","","அலுவலர்களுக்கறான​","","","",""
"","","","","முற்்பைம்","​192,000,000​","156,000,000​","​690,000,000​","​-​"
"","112","மறாவட்்டச்​செயலகம்,​","26301","அைெ​","","","",""
"","","அம்்பறாந்மதறாட்ண்ட","","அலுவலர்களுக்கறான​","","","",""
"15","","","","முற்்பைம்","136,000,000​","105,000,000​","​272,000,000​","​-​"
"","113","மறாவட்்டச்​செயலகம்​/​","26401","அைெ​","","","",""
"","","கச்மெறாி​-​யறாழ்ப்்பறாைம்","","அலுவலர்களுக்கறான​","","","",""
"","","","","முற்்பைம்","181,000,000​","125,000,000​","425,000,000​","​-​"
"","114","மறாவட்்டச்​செயலகம்​/​","26501","அைெ​","","","",""
"20","","கச்மெறாி​-​மன்னறார்","","அலுவலர்களுக்கறான​","","","",""
"","","","","முற்்பைம்","80,000,000​","​35,000,000​","162,000,000​","​-​"
"","115","மறாவட்்டச்​செயலகம்​​/​​","26601","அைெ​","","","",""
"","","கச்மெறாி​-​வவுனியறா","","அலுவலர்களுக்கறான​","","","",""
"","","","","முற்்பைம்","70,000,000​","35,000,000​","170,000,000​","​-​"
