"","","","","","",""
"80","482","“ෙර(cid:335)ස්(cid:382)ා(cid:601) 
ජනරා(cid:610)වරයාෙ(cid:280) 
ෙදපා(cid:601)තෙ(cid:572)(cid:486)(cid:433)ෙ(cid:617) 
(එ(cid:252) වචන 
දැ(cid:250)ෙවන කවර ෙහ(cid:676) 
අවස්ථාවක)”","","","“ෙර(cid:335)ස්(cid:382)ා(cid:601) 
ජනරා(cid:610)වරයාෙ(cid:280) 
ෙදපා(cid:601)තෙ(cid:572)(cid:486)(cid:433)ෙ(cid:617)”",""
"","","","","","",""
"81","514(1)","“ෙ(cid:572) පනත යටෙ(cid:430) 
(cid:536)(cid:655)(cid:379)වන ලද අර(cid:575)දලට 
බැර කර(cid:489) ලැ(cid:554)ය     
(cid:594)(cid:433) ය.”","","","“ෙ(cid:572) පනත යටෙ(cid:430) 
(cid:536)(cid:655)(cid:379)වන ලද 
අර(cid:575)දලට බැර කර(cid:489) 
ලැ(cid:554)ය (cid:594)(cid:433) ය.”",""
"82","519(3)(ඇ)","“කා(cid:601)ය සඳහා 
ඇ(cid:431)කරග(cid:430) හ(cid:620)(cid:610) 
ව්‍යාපාරයකට;”","","","“කා(cid:601)ය සඳහා 
ඇ(cid:431)කරග(cid:430) හ(cid:620)(cid:610)",""
"","","","","","",""
"","","","","","ව්‍යාපාරයකට;”",""
"83","පළ(cid:575)වන 
උපෙ(cid:610)ඛනය 
17(3)","“(cid:646)යයට දහයකට 
ෙන(cid:675)අ(cid:397)”","","","“(cid:646)යයට දහයකට 
ෙන(cid:675)අ(cid:397)”",""
"84","පළ(cid:575)වන 
උපෙ(cid:610)ඛනය 
17(4)","“(cid:646)යයට අ(cid:649) පහකට 
ෙන(cid:675)අ(cid:397)”","","","“(cid:646)යයට අ(cid:649) පහකට 
ෙන(cid:675)අ(cid:397)”",""
"85","පළ(cid:575)වන 
උපෙ(cid:610)ඛනය 
31(1)","“ක(cid:611)(cid:486) කල ප(cid:430) (cid:251)(cid:605)ම 
ම(cid:412)ඩලය (cid:618)(cid:646)(cid:486) කර(cid:489) 
ලැ(cid:554)ය හැ(cid:251) ය.”","","","“ක(cid:611)(cid:486) කල ප(cid:430) 
(cid:251)(cid:605)ම ම(cid:412)ඩලය 
(cid:618)(cid:646)(cid:486) කර(cid:489) ලැ(cid:554)ය 
හැ(cid:251) ය.”",""
"86","හතරවන 
උපෙ(cid:610)ඛනය    
I වන ෙක(cid:675)ටස 7","“එ(cid:250) එ(cid:250) (cid:539)(cid:601)ව 
(cid:618)භජන”","","","“එ(cid:250) එ(cid:250) (cid:539)(cid:601)ව 
(cid:618)භජන”",""
"","","","","","",""
"87","හතරවන 
උපෙ(cid:610)ඛනය    
I වන ෙක(cid:675)ටස 9","“ඒ ෙක(cid:675)ටස් ෙහ(cid:676) ඍණ 
ප(cid:436)”","","","“ඒ ෙක(cid:675)ටස් ෙහ(cid:676) 
ඍණ ප(cid:436)”",""
"88","හතරවන 
උපෙ(cid:610)ඛනය 
II වන ෙක(cid:675)ටස 
20(3)(ආ) (i)","“ඒකාබ(cid:458)ධ ව(cid:430)ක(cid:572) හා 
බැරක(cid:572)”","","","“ඒකාබ(cid:458)ධ ව(cid:430)ක(cid:572)",""
"","","","","","හා බැරක(cid:572)”",""
"","","","","","",""
"89","හතරවන 
උපෙ(cid:610)ඛනය 
II වන ෙක(cid:675)ටස 
20(3)(ආ) (ii)","“ව(cid:430)ක(cid:572) සහ බැරක(cid:572)”","","","“ව(cid:430)ක(cid:572) සහ 
බැරක(cid:572)”",""
"90","හතරවන 
උපෙ(cid:610)ඛනය 
II වන ෙක(cid:675)ටස 
22(1)(අ)","“ෙක(cid:675)ටස් ෙහ(cid:676) ඍණ 
ප(cid:436)”","","","“ෙක(cid:675)ටස් ෙහ(cid:676) ඍණ 
ප(cid:436)”",""
