"","","","","","","","","","remsh,a"
"","iema;eïn¾"" 2019","","","Tlaf;dan¾"" 2019","iema;eïn¾"" 2019","","","","Tlaf;dan¾"" 2019"
"","","wfkl=;a nerlï","","","","","úfoaYSh uQ,H fkdjk j;alï","",""
"4,615","","ú,ïNS; m%odk","4,615","","168,591,372,668","168,591,372,668","rka","172,917,287,746","172,917,287,746"
"","","úY%du jegqma iy wfkl=;a mYapd;a","","","","","","",""
"10,590,657,054","","/lshd m%;s,dN ie,iqï","10,600,323,859","","","","","",""
"143,663,768","10,734,325,437","úúO nerlï iy WmÑ;hka","247,405,716","10,847,734,190","","","","",""
"","","y
ñlre m%d.aOkh","","","","","u
,H fkdjk j;alï","",""
"","","","","","5,939,105,933","","f;d.h","6,483,624,117",""
"50,000,000,000","","m%d.aOk wruqo,","50,000,000,000","","1,467,927,457","","wfkl=;a ,eìh hq;= oE yd l,ska f.ùï","1,269,907,389",""
"249,222,755,000","299,222,755,000","ixÑ;","253,289,782,311","303,289,782,311","16,846,907,181","","foam<"" msrsh; iy WmlrK","16,816,657,800",""
"","","","","","41,462,668","24,295,403,239","wiamDYH j;alï","40,292,433","24,610,481,739"
