"இல.","நிரல் I","நிரல் II","நிரல் III"
"","தி(cid:8094)த்தப்பட்ட","நீக்க(cid:8107)ம்","உட்(cid:8087)குத்த(cid:8107)ம்"
"","பிாி(cid:8107)கள்","",""
"1","19(2)","பந்தி “ஆ”","பந்தி “ஆ”"
"2","28(1)","“ேதைவப்பா(cid:8076)க(cid:8102)க்கு","“ேதைவப்பா(cid:8076)க(cid:8102)க்கு"
"","","இணங்கிெயா(cid:8104)குதல்”","இணங்கிெயா(cid:8104)குதல்”"
"3","37(3)(அ)","“பங்குக(cid:8102)க்கு அல்ல(cid:8080)","“பங்குக(cid:8102)க்கு அல்ல(cid:8080)"
"","","ெதாகுதிக்கடன்க(cid:8102)க்கு”","ெதாகுதிக்கடன்"
"","","","க(cid:8102)க்கு”"
"4","40(3)(ஆ)","“ஆவணங்கள்","“ஆவணங்கள்"
"","","(எைவேய(cid:8084)மி(cid:8094)ப்பின்)”","(எைவேய(cid:8084)"
"","","","மி(cid:8094)ப்பின்)”"
"5","40(4)","“விவரமஞ்சாிெயான்(cid:8096)”","“விவரமஞ்சாி"
"","","","ெயான்(cid:8096)”"
"6","41","“விவரமஞ்சாியில்","“விவரமஞ்சாியில்"
"","(ஓரக்குறிப்(cid:8087))","உண்ைமயற்ற கு(cid:8074)யியல்","உண்ைமயற்ற"
"","","ெபா(cid:8096)ப்(cid:8087)”.","கூற்(cid:8096)த்"
"","","","ெதாடர்பிலான"
"","","","கு(cid:8074)யியல்  ெபா(cid:8096)ப்(cid:8087)”."
"7","41(2)(இ)","“பகிரங்க அறிவித்தல்”","“பகிரங்க அறிவித்தல்”"
"8","44(ஆ)","“கூட்(cid:8074)ைணக்கப்பட்ட","“கூட்(cid:8074)ைணக்கப்பட்ட"
"","","குறிப்பீ(cid:8076)”","குறிப்பீ(cid:8076)”"
"9","61(3)(ஆ)","“பணிப்பாள(cid:8094)க்கு","“பணிப்பாள(cid:8094)க்கு"
"","","நிவாரணமளித்தல்”","நிவாரணமளித்தல்”"
"10","64(3)(ஆ)","“(cid:8089)ைனெவான்ைறச்","“(cid:8089)ைனெவான்ைறச்"
"","","ெசய்கின்ற”","ெசய்கின்ற”"
"11","67(2)(ஆ)","“56 ஆம் பிாிவின்","“56 ஆம் பிாிவின்"
"","","ேநாக்கங்க(cid:8102)க்காக”","ேநாக்கங்க(cid:8102)க்காக”"
"12","77(1)","பங்குக(cid:8102)க்கான","பங்குக(cid:8102)க்கான"
"","","அல்ல(cid:8080)","அல்ல(cid:8080)"
"","","கடனாளிக(cid:8102)க்கான","கடனாளிக(cid:8102)க்கான"
"","","உாித்(cid:8080)”,","உாித்(cid:8080)”,"
"13","84(2)","“அேத (cid:8089)ன்(cid:8084)ாிைமகள்”,","“அேத"
"","","","(cid:8089)ன்(cid:8084)ாிைமகள்”;"
"14","84(4)","“இன்ெனா(cid:8094)","“இன்ெனா(cid:8094)"
"","","ெதாகுதிக்கடைன","ெதாகுதிக்கடைன"
"","","வழங்குதல்”","வழங்குதல்”"
"15","84(5)","எவேர(cid:8084)மாள்","எவேர(cid:8084)மாள்"
"","","ெகாண்(cid:8074)(cid:8094)க்கக் கூ(cid:8074)ய","ெகாண்(cid:8074)(cid:8094)க்கக்"
"","","ஏேத(cid:8084)ம் (cid:8089)ன்(cid:8084)ாிைம”,","கூ(cid:8074)ய ஏேத(cid:8084)ம்"
"","","","(cid:8089)ன்(cid:8084)ாிைம”,"
"16","86(3)","“பங்குகள்","“பங்குகள்"
"","","ைகமாற்றப்பட்(cid:8076)ள்ள”,","ைகமாற்றப்பட்(cid:8076)ள்ள”,"
