"Unit/Ministry/Department
Law  under  which","Expenditure","Recurrent","Capital","Total"
"Head
or  Institution  by  whom
expenditure  is","Programme","expenditure","expenditure","expenditure"
"No.
expenditure  is  incurred
  authorized","","Rs.","Rs.","Rs."
"1
His  Excellency  the  President Article  36  of  the  Constitution","Programme  01-","3,510,000","—","3,510,000"
"","Operational","","",""
"","Activities","","",""
"4
Judges  of  the  Superior
Article  108  of  the  Constitution","Programme  01-","38,600,000","—","38,600,000"
"Courts","Operational","","",""
"","Activities","","",""
"6
Public  Service  Commission
Chapter  IX    of  the  Constitution","Programme  01-","8,400,000","—","8,400,000"
"","Operational","","",""
"","Activities","","",""
"7
Judicial  Service  Commission Chapter    XV  A    of  the","Programme  01-","1,763,000","—","1,763,000"
"Constitution","Operational","","",""
"","Activities","","",""
"8
National  Police  Commission Chapter    XVIII  A    of  the","Programme  01-","9,500,000","—","9,500,000"
"Constitution","Operational","","",""
"","Activities","","",""
