"","","Government","Activities  of the
Government","Government"
"","","","Government",""
"","","Rs.","Rs.
Rs.","Rs."
"102","Department  of  Attorney  General
22901 Advances  to  Public  Officers","24,000,000","15,000,000
80,000,000","—"
"103","Department  of  Legal  Draftsman
23001 Advances  to  Public  Officers","7,000,000","2,900,000
18,000,000","—"
"104","Department  of  Debt  Conciliation","","",""
"","Board
23101 Advances  to  Public  Officers","1,500,000","400,000
4,000,000","—"
"105","Department  of  Prisons","23201 Advances  to  Public  Officers 180,000,000     135,000,000  400,000,000","","—"
"106","Department  of  Prisons
23202 Prisons  Industrial  and","","",""
"","Agricultural  Undertakings","100,000,000","120,000,000
65,000,000","12,000,000"
"107","Department  of  Government","","",""
"","Analyst
23301 Advances  to  Public  Officers","9,000,000","5,500,000
32,000,000","—"
"108","Registrar  of  the  Supreme  Court
23401 Advances  to  Public  Officers","17,000,000","10,000,000   45,000,000","—"
"109","Department  of  Law  Commission
23501 Advances  to  Public  Officers","1,300,000","400,000
3,600,000","—"
"110","Department  of  Official  Languages 23601 Advances  to  Public  Officers","7,500,000","4,000,000
27,000,000","—"
"111","Department  of  National  Planning
23701 Advances  to  Public  Officers","5,000,000","3,400,000
30,000,000","—"
"112","Department  of  Fiscal  Policy
23801 Advances  to  Public  Officers","4,000,000","1,700,000
15,000,000","—"
"113","Department  of  External  Resources 23901 Advances  to  Public  Officers","7,500,000","3,700,000
30,000,000","—"
