"189","Government  Factory","31002 Government  Factory","","",""
"","","Stores  Advance  Account
       120,000,000","120,000,000","40,000,000","40,000,000"
"190","Government  Factory","31003 Government  Factory  Work","","",""
"","","350,000,000
  Done  Advance  Account","360,000,000","190,000,000","1,000,000"
"191","Department  of  National  Physical","","","",""
"","Planning","31101 Advances  to  Public  Officers
15,000,000","8,500,000","50,000,000","—"
"192","Department  of  Civil  Security","600,000,000
32001 Advances  to  Public  Officers","325,000,000","650,000,000","—"
"193","Department  of  National","","","",""
"","Botanical  Gardens","32201 Advances  to  Public  Officers
33,000,000","18,000,000","83,000,000","—"
"194","Department  of  Legal  Affairs","32301 Advances  to  Public  Officers
1,000,000","200,000","3,000,000","—"
"195","Department  of  Management  Audit 32401 Advances  to  Public  Officers","4,500,000","2,200,000","10,000,000","—"
"196","Department  of  Community  Based","","","",""
"","Corrections","32601 Advances  to  Public  Officers
30,000,000","7,500,000","57,000,000","—"
"197","Department  of  Land  Use  Policy","","","",""
"","Planning","32701 Advances  to  Public  Officers
23,000,000","15,500,000","71,000,000","—"
"198","Department  of  Manpower  and","","","",""
"","Employment","32801 Advances  to  Public  Officers
18,000,000","11,000,000","60,000,000","—"
"199","Department  of  Information","","","",""
"","Technology  Management","32901 Advances  to  Public  Officers
2,500,000","700,000","7,000,000","—"
"200","Department  of  Samurdhi","","","",""
"","Development","","33101 Advances  to  Public  Officers 325,350,000 275,000,000 350,000,000","","—"
"201","Department  of  National","","","",""
"","Community  Water  Supply","33201 Advances  to  Public  Officers
14,000,000","2,800,000","38,000,000","—"
"202","Comptroller  General  Office","33301 Advances  to  Public  Officers
1,800,000","600,000","3,500,000","—"
"","Total","27,632,750,000","21,632,750,000","64,942,400,000","3,153,000,000"
