"141","District  Secretariat/  Kachcheri,","","",""
"","Jaffna
26401 Advances  to  Public  Officers
68,000,000","46,000,000","200,000,000","—"
"142","District  Secretariat/  Kachcheri,","","",""
"","Mannar
26501 Advances  to  Public  Officers
18,000,000","11,000,000","53,000,000","—"
"143","District  Secretariat/  Kachcheri,","","",""
"","Vavuniya
26601 Advances  to  Public  Officers
17,000,000","13,000,000","50,000,000","—"
"144","District  Secretariat/  Kachcheri,","","",""
"","Mullaitivu
26701 Advances  to  Public  Officers
  18,000,000","11,000,000","54,000,000","—"
"145","District  Secretariat/  Kachcheri,","","",""
"","Killinochchi
26801 Advances  to  Public  Officers
17,000,000","12,000,000","48,000,000","—"
"146","District  Secretariat/  Kachcheri,","","",""
"","Batticaloa
26901 Advances  to  Public  Officers
44,000,000","28,000,000","135,000,000","—"
"147","District  Secretariat,  Ampara
27001 Advances  to  Public  Officers
75,000,000","47,000,000","240,000,000","—"
"148","District  Secretariat/  Kachcheri,","","",""
"","Trincomalee
27101 Advances  to  Public  Officers
40,000,000","23,000,000","115,000,000","—"
"149","District  Secretariat,  Kurunegala
27201 Advances  to  Public  Officers 112,000,000","85,000,000","345,000,000","—"
"150","District  Secretariat,  Puttalam
27301 Advances  to  Public  Officers
60,000,000","41,000,000","195,000,000","—"
"151","District  Secretariat,  Anuradhapura 27401 Advances  to  Public  Officers
80,000,000","50,000,000","240,000,000","—"
"152","District  Secretariat,  Polonnaruwa
27501 Advances  to  Public  Officers
31,000,000","19,000,000","120,000,000","—"
"153","District  Secretariat,  Badulla
27601 Advances  to  Public  Officers
  67,000,000","39,000,000","185,000,000","—"
"154","District  Secretariat,  Moneragala
27701 Advances  to  Public  Officers
37,000,000","34,000,000","125,000,000","—"
