"","","","of the","Accounts  of
of  the","of the"
"","","","Government","Activities  of the
Government","Government"
"","","","","Government",""
"","","","Rs.","Rs.
Rs.","Rs."
"127","Department  of  State  Accounts","25003 Miscellaneous  Advances","10,000,000","2,500,000        235,000,000","—"
"128","Department  of  Valuation","25101 Advances  to  Public  Officers","30,000,000","17,000,000            90,000,000","—"
"129","Department  of  Census  and","","","",""
"","Statistics","25201 Advances  to  Public  Officers","51,000,000","34,000,000        250,000,000","—"
"130","Department  of  Pensions","25301 Advances  to  Public  Officers","50,000,000","32,000,000        190,000,000","—"
"131","Department  of  Registrar  General","25401 Advances  to  Public  Officers","77,000,000","58,000,000        270,000,000","—"
"132","District  Secretariat,  Colombo","25501 Advances  to  Public  Officers","67,000,000","43,000,000        220,000,000","—"
"133","District  Secretariat,  Gampaha","25601 Advances  to  Public  Officers 103,000,000","","68,000,000        300,000,000","—"
"134","District  Secretariat,  Kalutara","25701 Advances  to  Public  Officers","95,000,000","63,000,000        373,000,000","—"
"135","District  Secretariat,  Kandy","25801 Advances  to  Public  Officers","76,000,000","65,000,000        260,000,000","—"
"136","District  Secretariat,  Matale","25901 Advances  to  Public  Officers","65,000,000","38,000,000        212,000,000","—"
"137","District  Secretariat,  Nuwara-Eliya","26001 Advances  to  Public  Officers","40,000,000","25,000,000            98,000,000","—"
"138","District  Secretariat,  Galle","26101 Advances  to  Public  Officers","69,000,000","59,000,000        275,000,000","—"
"139","District  Secretariat,  Matara","26201 Advances  to  Public  Officers","64,000,000","57,000,000        250,000,000","—"
"140","District  Secretariat,  Hambantota","26301 Advances  to  Public  Officers","78,000,000","51,000,000        212,000,000","—"
