"2  A","I fldgi: (I) fPoh - Y%S ,xld m%cd;dka;%sl iudcjd§ ckrcfha w;s úfYI .eiÜ m;%h -  2019'11'08"
"","tlS w;s úfYI .eiÜ ksfõokfha my< fldgfia YS¾Ifha ""n,"" hk jpkhg miqj  ""m%foaYfha fldgilska iukaú; jk uyj"
"","kd.ßl ixj¾Ok"" fh§fuka o"" by; lS w;s úfYI .eiÜ ksfõokfha my< fldgfia wka;¾.;fhys ""1982 wxl 4 ork kd.ßl"
"","ixj¾Ok wêldß ^ixfYdaê;& mkf;a 8""w"" j.ka;sfha n,;, m%ldr kd.ßl ixj¾Ok wêldßh úiska ilia lrk ,o uyj"
"","m%dfoaYSh iNd n,"" fjkqjg ""1982 wxl 4 ork mkf;ka ixfYdaê; 1978 wxl 41 ork kd.ßl ixj¾Ok wêldßh mkf;a 8""w"""
"","j.ka;sfha n,;, m%ldr uyj m%dfoaYSh iNd n, m%foaYfha fldgilska iukaú; uyj kd.ßl ixj¾Ok"" we;=<;a lsÍfuka o"""
"my; mßÈ ksjerÈ úh hq;=h'",""
"","""uyj m%dfoaYSh iNd n, m%foaYfha fldgilska iukaú;jk uyj kd.ßl ixj¾Ok m%foaYh i|yd jQ ixj¾Ok ie,eiau wkqu;"
"l
Íu'""",""
"","""1982 wxl 4 ork mkf;ka ixfYdaê; 1978 wxl 41 ork kd.ßl ixj¾Ok wêldßh mkf;a 8""w"" j.ka;sfha n,;, m%ldr uyj"
"","m%dfoaYSh iNd n, m%foaYfha fldgilska iukaú; uyj kd.ßl ixj¾Ok m%foaYh i|yd ilia lrk ,o ixj¾Ok ie,eiau"
"","uydk.r yd niakdysr ixj¾Ok wud;H .re mdG,S pïmsl rKjl ue;s;=ud úiska"" tu ixfYdaê; mkf;a 8""B"" j.ka;sfhka"
"t;=uka fj; mejÍ we;s n,;, m%ldr 2019 cqks ui 28 jeks Èk wkqu; lrk ,o nj uyck;djg fuhska oekqï foñ'""",""
