"witnesses  is  to  be  provided  by  the  Authority  or  Protection  Division","","",""
"","Act","Section","Offence"
"1","Penal  Code","296","murder"
"","(Chapter  19)","",""
"2","","297","culpable  homicide  not  amounting  to"
"","","","murder"
"3","","300","attempt  to  murder"
"4","","316","voluntarily  causing  grievous  hurt"
"5","","354","kidnapping"
"6","","355","kidnapping  or  abducting  in  order  to"
"","","","murder"
"7","","356","kidnapping  or  abducting  with  intent"
"","","","secretly  and  wrongfully  to  confine"
"","","","a  person"
"8","","357","kidnapping  or  abducting  a  woman"
"","","","to  compel  her  marriage,  &c."
