"","","Crime and Witnesses",""
"","Act","Section","Offence"
"2 6","","378","putting a person in fear of accusation"
"","","","of  an  offence  punishable  with  death"
"","","","or  with  imprisonment  for  ten  years,"
"","","","in  order  to  commit  extortion"
"2 7","","380","robbery"
"2 8","","381","attempt  to  commit  robbery"
"2 9","","382","voluntarily  causing  hurt  in"
"","","","committing  or  attempting  to  commit"
"","","","robbery"
"3 0","","383","robbery,  with  attempt  to  cause  death"
"","","","or  grievous  hurt"
"3 1","","384","attempt  to  commit  robbery  when"
"","","","armed  with  deadly  weapon"
"3 2","","385","belonging  to  a  wandering  gang  of"
"","","","persons  associated  for  the  purpose"
"","","","of  habitually  committing  theft"
"3 3","","418","mischief  by  fire  or  explosive"
"","","","substance,  with  intent  to  cause"
"","","","damage  of  an  amount  of  one"
"","","","hundred  rupees  or  upwards"
"3 4","","419","mischief  by  fire  or  explosive"
"","","","substance  with  intent  to  destroy  a"
"","","","house,  &c."
"3 5","","420","mischief  with  intent  to  destroy  or"
"","","","make unsafe a decked vessel or vessel"
"","","","of  a  burden  of  ten  tons  or  upwards"
"3 6","","421","mischief  referred  to  in  section  420"
"","","","when  committed  by  fire  or  any"
"","","","explosive  substance"
"3 7","","435","house-trespass  in  order  to  commit"
"","","","an  offence  punishable  with  death"
"3 8","","437","house-trespass  in  order  to  commit"
"","","","an  offence  punishable  with"
"","","","imprisonment  for  less  than  ten  years"
