"74 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"4. (16)   The sewage pit where sewage and sewage is flowing must be constructed to the standard.",""
"4. (17)   The suction pit for the premises must be erected at least 15.25 m from any source of water.",""
"4.(18)","Chemical  wastewater  shall  be  disposed  of 
in  a  manner  recommended  by 
the  relevant  authority  or 
the"
"","Chairperson, the Medical Officer of Health or the Public Health Inspector or any other authority authorized by"
"","the Chairman."
"4.(19)","Sufficient fire extinguishers shall be provided in accordance with the requirements of the premises."
"","4.(20)   A separate section of the business premises shall be designated for leisure and other activities of the employees."
"5.","Every  person 
licensed  under 
this  by-law  shall  maintain 
the  premises 
in  accordance  with 
the  following"
"","conditions."
"5. (1)","Every licensed person shall sweep the premises of the licensed premises at the end of each service day, remove"
"","the dust, hair and other impurities and disinfect and clean them daily."
"5. (2)","It  is  the  responsibility  of  the  Licensee  to  clean  and  maintain  every  part  of  the  Licensed  premises  on  a  daily"
"","basis."
"5. (3)","The serving portion of the Licensed Institution shall not be used for food or for any other purpose and shall not"
"","be used by any other person."
"5. (4)","The Licensed Place shall not be used for any purpose other than such."
"5. (5)","Garbage bins shall be kept separate from the garbage in the premises and shall be covered with lids so that flies"
"","or other insects cannot enter."
"5. (6)   Waste management of the organization shall be as follows.",""
