"No.","km","","","structure","structure"
"","","","","(m)","(m)"
"Culverts","","","","",""
"63","123+109","Culvert","-","40.152","2.000"
"64","123+199","Culvert","-","40.382","2.000"
"65","123+479","Culvert","-","32.620","2.000"
"66","123+576","Culvert","-","34.066","2.000"
"67","123+761","Culvert","-","33.537","2.000"
"68","124+034","Culvert","-","75.592","2.000"
"69","124+382","Culvert","-","59.692","2.000"
"70","124+449","Culvert","-","46.253","2.000"
"71","125+219","Culvert","-","39.909","2.000"
"72","125+289","Culvert","-","37.323","3.000"
"73","125+379","Culvert","-","39.310","3.000"
"74","130+590","Culvert","-","42.817","3.000"
"75","130+996","Culvert","-","41.824","3.000"
"76","136+036","Culvert","-","64.514","4.000"
"77","136+229","Culvert","-","47.269","2.000"
"78","136+525","Culvert","-","34.900","2.000"
"79","136+943","Culvert","-","92.298","3.000"
"80","137+347","Culvert","-","43.410","3.000"
"81","137+744","Culvert","-","41.619","2.000"
"82","138+430","Culvert","-","59.718","2.000"
"83","139+829","Culvert","-","61.685","2.000"
"84","140+181","Culvert","-","35.276","2.000"
"85","140+389","Culvert","-","34.918","2.000"
"86","140+633","Culvert","-","60.779","2.000"
"87","140+919","Culvert","-","95.115","2.000"
"88","141+008","Culvert","-","95.116","3.000"
"89","141+534","Culvert","-","38.322","3.000"
"90","141+706","Culvert","-","93.458","3.000"
