"Serial","Chainage at","Type","River/Stream/Road Name","Length of","Width/diameter of the"
"No.","km","","","structure","structure"
"","","","","(m)","(m)"
"Structures at Beliatta Interchange","","","","",""
"Ramp B","","","","",""
"157","0+250","Culvert","","22.591","2.000"
"Ramp C","","","","",""
"158","0+030","Culvert","","43.806","8.000"
"Ramp E","","","","",""
"159","0+190","Culvert","","20.126","2.000"
"Ramp F","","","","",""
"160","0+100","Culvert","","31.872","6.000"
"161","0+265","Culvert","","34.837","2.000"
