"100 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"","iv.   Every processing room in a food handling area and any other place for processing food in that room is"
"","made  from  non-absorbent  metals  or  some  other  suitable  water-absorbent  material  for  the  collection  of"
"","meat  shells,  fish effluent,  and  waste.  There are  plenty  of  easy-to-use,  portable,  non-portable  watertight"
"","containers with a sealant cover. The size should be provided."
"6. (13)   Disposal containers for premises,",""
"","i.  
Meat shells, discarded parts of fish should be kept in a frozen room or in a separate room or covered with"
"","an insulating material that does not absorb water, until the waste is disposed of. They should be located"
"","high above the ground, suitable for drainage, with support slopes. Nevertheless, pests and fats should be"
"","taken  to  a  separate  room,  covered  area,  or  outside  place  and  kept  in  clean,  dry  bags  or  other  suitable"
"","containers until they are removed from the premises."
"","ii. 
Immediately after emptying the pots should be carefully cleaned and dried underneath."
"","6. (14)   Steps shall be taken to cover all windows and entry gates with appropriate nets or flies, by properly directed air"
"","ducts or other suitable means of disposal of pests and to keep the premises free of pests."
"","6. (15)   No  person  shall  display  or  serve  food  in  any  place  where  food  is  provided,  except  in  accordance  with  the"
"","following requirements:"
"","i.  
In cases where the consumer has food to choose from, the customer should not hold the food in such a"
"","way as to have his hand extended over other foods."
"","ii.  
Ensure proper use of snacks, forks, spoons, sticks, knives, large spoons, suitable for use by workers and"
"","customers, to prevent unnecessary touching of food."
"6.(16)","In  the  opinion  of  the  PHI,  the  manner  in  which  food  is  stored  and  the  safety  measures  provided  against"
"","sterilization are inadequate, the PHI shall take additional measures as prescribed by the Public Health Inspector."
"","6. (17)   Every person dealing  with  food  preparation or  serving  food  in a  catering  company  must  be careful  to prevent"
"","food contamination and to avoid unnecessary touching and other equipment used on the premises."
"6. (18)   Any person engaged in the preparation, handling or serving of food at the Hotel premises;",""
"","i.  
The  food  should  not  be  split  with  its fingers, except  where it  is  practically  impossible to  serve  food  in"
"","any other way."
