"86 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"18.","In the event of a trade in which a license has been issued under this by-law is contrary to the provisions of any of"
"","the by-laws of this By-Law, the Chairman shall deliver to the Licensee a notice requiring the Licensee to comply"
"","with all such requirements.  Plan and give time.maximum must not exceed three days."
"19.","Any licensee who has received a notice in the manner specified in section 19 hereof shall have the right to cancel"
"","the permit issued to such person in the event that he fails to comply with the notice prescribed on or before the date"
"","specified in such notice."
"20.   Any violation of one or more of the provisions of this by-law is an offense",""
"21.","It is an offense not to act in accordance with section 8 of this by-law and after being convicted by a magistrate court"
"","of that offense, he has been subjected to a penalty under Section 122 of the Pradeshiya Sabha Act, No.15 of 1987"
"","and in continuation of the offence, subject to an additional penalty under that section."
"22.    In this by-law, unless it is otherwise necessary to another meaning for the words",""
