"පාඨාංක","නැෙගන(cid:655)ර","උ(cid:433)(cid:606)","පාඨාංක","නැෙගන(cid:655)ර","උ(cid:433)(cid:606)"
"අංක","ෙ(cid:458)ශාංශ","අ(cid:250)ෂාංශ","අංක","ෙ(cid:458)ශාංශ","අ(cid:250)ෂාංශ"
"","","","11092","161114","129173"
"11050","160959","129030","","",""
"","","","11093","161112","129197"
"11052","160934","129032","","",""
"","","","11094","161103","129218"
"11053","160912","129043","","",""
"","","","11095","161144","129237"
"11054","160900","129045","","",""
"","","","11096","161170","129242"
"11055","160889","129047","","",""
"","","","11097","161172","129243"
"11056","160882","129047","","",""
"","","","11098","161175","129266"
"11057","160875","129048","","",""
"","","","11099","161182","129286"
"11058","160865","129050","","",""
"","","","11100","161190","129306"
"11059","160842","129044","","",""
"","","","11101","161201","129327"
"11060","160837","129052","","",""
"","","","11102","161204","129343"
"11061","160835","129061","","",""
"","","","11103","161184","129355"
"11062","160831","129071","","",""
"","","","11104","161166","129371"
"11063","160807","129077","","",""
"","","","11105","161151","129391"
"11064","160785","129077","","",""
"","","","11106","161140","129412"
"11065","160782","129078","","",""
"","","","11107","161124","129431"
"11066","160783","129100","","",""
"","","","11108","161112","129452"
"11067","160785","129116","","",""
"","","","11109","161108","129459"
"11068","160789","129149","","",""
"","","","11110","161099","129472"
"11069","160788","129172","","",""
"","","","11111","161078","129482"
"11070","160805","129181","","",""
"","","","11112","161061","129488"
"11071","160821","129188","","",""
"","","","11113","161063","129512"
"11072","160827","129180","","",""
"","","","11114","161050","129519"
"11073","160813","129166","","",""
"","","","11115","161037","129528"
"11074","160803","129155","","",""
"","","","11116","161026","129540"
"11075","160831","129142","","",""
"","","","11117","161006","129536"
"11076","160848","129134","","",""
"","","","11118","161002","129539"
"11077","160863","129121","","",""
"","","","11119","160984","129548"
"11078","160888","129124","","",""
"","","","11120","160965","129563"
"11079","160909","129132","","",""
"","","","11121","160965","129594"
"11080","160930","129121","","",""
"","","","11122","160943","129607"
"11081","160954","129139","","",""
"","","","11123","160918","129611"
"11082","160943","129156","","",""
"","","","11124","160896","129621"
"11083","160965","129164","","",""
"","","","11125","160870","129628"
"11084","160983","129168","","",""
"","","","11126","160851","129636"
"11085","161007","129172","","",""
"","","","11127","160829","129632"
"11086","161021","129167","","",""
"","","","11128","160807","129636"
"11087","161025","129141","","",""
"","","","11129","160793","129643"
"11088","161049","129122","","",""
"","","","11130","160769","129614"
"11089","161084","129132","","",""
"","","","11131","160746","129622"
"11090","161101","129150","","",""
"","","","11132","160755","129641"
"11091","161108","129163","","",""
"","","","11133","160767","129663"
