"","head  306 Department of Sri Lanka railways","","",""
"","Programme 02","Development activities","31,378,000,000","30,476,000,000"
"","head  307 Department of Motor Traffic","","",""
"","Programme 02","Development activities","3,663,000,000","1,406,000,000"
"5","head  336 merchant Shipping Secretariat","","",""
"","Programme 02","Development activities","166,000,000","25,000,000"
"","","Ministry of Agriculture, Livestock, Land and Irrigation","",""
"","Recurrent","83,894,000,000","",""
"","Capital","124,828,000,000","",""
"10 made up as follows :-","","","",""
"","head  118 minister of   agriculture, Livestock, Land and irrigation","","",""
"","Programme 01","operational activities","3,858,000,000","273,000,000"
"","Programme 02","Development activities","47,781,000,000","96,007,000,000"
"","head  281 Department of agrarian Development","","",""
"15","Programme 01","operational activities","854,000,000","73,000,000"
"","Programme 02","Development activities","10,421,000,000","4,183,000,000"
"","head  282 Department of irrigation","","",""
"","Programme 01","operational activities","956,000,000","118,000,000"
"","Programme 02","Development activities","3,677,000,000","17,275,000,000"
"20","head  285 Department of agriculture","","",""
"","Programme 01","operational activities","722,000,000","100,000,000"
"","Programme 02","Development activities","6,406,000,000","3,761,000,000"
