"","","","","Recurrent","Capital",""
"","Head No.","","","Expenditure","Expenditure",""
"","","","","Rs.","Rs.",""
"","","head  297 Department of the registrar of companies","","","",""
"","","Programme 01","operational activities","105,000,000","",""
"","","","","","","-"
"","","head  298 Department of measurement units, Standards and Services","","","",""
"","","Programme 01","operational activities","232,800,000","",""
"","","","","","","-"
"5","","head  299 National Intellectual Property Office of Sri Lanka","","","",""
"","","Programme 01","operational activities","84,200,000","",""
"","","","","","","-"
"","","head  300 Department of food commissioner","","","",""
"","","Programme 01","operational activities","112,000,000","","205,000,000"
"","","head  301 Department of co-operative Development (registrar of co-operative Societies)","","","",""
"10","","Programme 01","operational activities","88,000,000","","26,100,000"
"","","head  302 co-operative employees commission","","","",""
"","","Programme 01","operational activities","26,000,000","","900,000"
"","","Ministry of Transport, Highways, Ports and Civil Aviation","","","",""
"","","Recurrent","52,410,000,000","","",""
"15","","Capital","421,000,000,000","","",""
"","made up as follows :-","","","","",""
"","","head  117 minister of transport, highways, Ports and civil aviation","","","",""
"","","Programme 01","operational activities","1,133,000,000","","57,000,000"
"","","Programme 02","Development activities","16,070,000,000","389,036,000,000",""
