"","","","Government
Activities of the 
the Accounts of 
Government"
"","","","Activities of the 
Rs. 
Government
Rs."
"","","","Rs. 
Government"
"","","","Rs."
"","121 District Secretariat, kurunegala","27201","Advances to Public Officers           230,000,000           170,000,000          600,000,000 
 -"
"","122 District Secretariat, Puttalam","27301","Advances to Public Officers             75,000,000             75,000,000          300,000,000 
 -"
"","123 District Secretariat, anuradhapura","27401","Advances to Public Officers           115,000,000           100,000,000          400,000,000 
 -"
"","124 District Secretariat, Polonnaruwa","27501","Advances to Public Officers             43,000,000             42,000,000          170,000,000 
 -"
"5","125 District Secretariat, badulla","27601","Advances to Public Officers           120,000,000             78,000,000          460,000,000 
 -"
"","126 District Secretariat, monaragala","27701","Advances to Public Officers             90,000,000             55,000,000          300,000,000 
 -"
"","127 District Secretariat, ratnapura","27801","Advances to Public Officers           120,000,000             85,000,000          300,000,000 
 -"
"","128 District Secretariat, kegalle","27901","Advances to Public Officers             95,000,000             95,000,000          300,000,000 
 -"
"","129 Departament of Project","28001","Advances to Public Officers               5,000,000               5,000,000            20,000,000 
 -"
"10","management and monitoring","",""
"","130 Department of agrarian","28101","Advances to Public Officers           350,000,000           200,000,000          680,000,000 
 -"
"","Development","",""
"","131 Department of irrigation","28201","Advances to Public Officers           260,000,000           185,000,000          850,000,000 
 -"
"","132 Department of forest","28301","Advances to Public Officers             80,000,000             68,000,000          300,000,000 
 -"
"15","conservation","",""
"","133 Department of Wildlife","28401","Advances to Public Officers           150,000,000             65,000,000          450,000,000 
 -"
"","conservation","",""
"","134 Department of agriculture","28501","Advances to Public Officers           325,000,000           220,000,000       1,100,000,000 
 -"
