"","","","","Recurrent","Capital"
"","Head No.","","","Expenditure","Expenditure"
"","","","","Rs.","Rs."
"","made up as follows :-","","","",""
"","","head  103 minister of Defence","","",""
"","","Programme 01","operational activities","8,087,000,000","5,831,000,000"
"","","Programme 02","Development activities","6,687,000,000","6,564,000,000"
"5","","head  222 Sri Lanka army","","",""
"","","Programme 01","operational activities","220,090,000,000","5,435,000,000"
"","","head  223 Sri Lanka navy","","",""
"","","Programme 01","operational activities","73,210,000,000","19,353,000,000"
"","","head  224 Sri Lanka air force","","",""
"10","","Programme 01","operational activities","50,784,000,000","21,391,000,000"
"","","head  304 Department of meteorology","","",""
"","","Programme 02","Development activities","477,000,000","1,019,000,000"
"","","head  320 Department of civil Security","","",""
"","","Programme 01","operational activities","22,273,000,000","157,000,000"
"15","","head  325 Department of Sri Lanka coast Guard","","",""
"","","Programme 01","operational activities","392,000,000","250,000,000"
"","","Ministry of Justice and National Integration","","",""
"","","","38,060,900,000","",""
"","","Recurrent","","",""
"","","Capital                                          16,045,600,000","","",""
