"","157 Department of Motor Traffic","30701","Advances to Public Officers             26,000,000             40,000,000          140,000,000","-",""
"","158 Department of Posts","30801","Advances to Public Officers           900,000,000           710,000,000       2,400,000,000","-",""
"","159 Department of buildings","30901","Advances to Public Officers             25,000,000             20,000,000            95,000,000","-",""
"","160 Department of Government","31001","Advances to Public Officers             25,000,000             13,500,000          125,000,000","-",""
"5","factories","","","",""
"","161 Department of Government","31002","Government factory Stores 
          180,000,000           120,000,000          150,000,000","50,000,000",""
"","factories","","advance account","",""
"","162 Department of Government","31003","Government factory Work 
          400,000,000           450,000,000          190,000,000","-",""
"","factories","","Done advance account","",""
"10","163 Department of national Physical","31101","Advances to Public Officers             15,000,000               9,200,000            50,000,000","-",""
"","Planning","","","",""
"","164 Department of civil Security","32001","Advances to Public Officers           450,000,000           350,000,000          900,000,000","-","Appropriation"
"","165 Department of national botanical","32201","Advances to Public Officers             30,000,000             27,000,000          110,000,000","-",""
"","Gardens","","","",""
"","166 Department of Legal Affairs","32301","Advances to Public Officers               1,000,000                  675,000              4,000,000","-",""
"15","","","","",""
"","167 Department of management","32401","Advances to Public Officers               3,000,000               2,500,000            10,000,000","-",""
"","auditing","","","",""
"","168 Department of community based","32601","Advances to Public Officers             60,000,000             14,000,000          150,000,000","-",""
"","corrections","","","",""
"20","169 Department of Land use Policy","32701","Advances to Public Officers             20,000,000             17,000,000            75,000,000","-",""
"","Planning","","","","53"
"","170 Department of manpower and","32801","Advances to Public Officers             30,000,000             22,000,000          100,000,000","-",""
"","employment","","","",""
"","171 Department of information","32901","Advances to Public Officers               4,000,000               2,500,000            12,000,000","-",""
"25","technology management","","","",""
