"","","","Rs.","Rs."
"","made up as follows :-","","",""
"","head  194 Minister of Youth Affairs and Sports","","",""
"","Programme 01","operational activities","1,325,000,000","1,230,000,000"
"","Programme 02","Development activities","3,105,000,000","1,410,000,000"
"5","head  219 Department of Sports Development","","",""
"","Programme 01","operational activities","184,000,000","36,000,000"
"","Programme 02","Development activities","2,486,000,000","2,324,000,000"
"","Ministry of  Science and Technology","","",""
"","Recurrent","2,800,000,000","",""
"10","Capital","2,200,000,000","",""
