"64 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"7.","A  sample  of  any  meat  that  is  sold  or  displayed  for  sale  by  the  Public  Health  Inspector,  the  Public  Health"
"","Inspector, or stored inside, shall be legally authorized by the Licensee to be paid for its trade value. Don't refuse"
"","or hinder taking."
"8.","The  Licensee  shall  provide  every  reasonable  support  to  the  Chairman  or  any  officer  authorized  by  him,  the"
"","Medical  Officer  of  Health  or  the  Public  Health  Inspector  at  any  reasonable  time  to  check  the  terms  of  these"
"","by-laws."
"9.","If  any  meat  selling  point  is  maintained  in  a  manner  contrary  to  the  provisions  of  this  By-Law  in  a  licensed"
"","premise,  the  Chairman  shall  deliver  to  the  Licensee  a  notice  requiring  the  Licensee  to  comply  with  all  such"
"","requirements before the specified date. To be received. The maximum period of notice from such advertisement"
"","shall not exceed 30 days."
"10.","Any licensee who has received a notice of the type referred to in paragraph 9 shall act in accordance with the"
"","notice as set out in that notice before the specified date. The Chairperson shall be entitled to extend the specified"
"","period  of  notice  of  such  notice  upon  a  reasonable  written  request  by  the  Licensee.  However,  the  extension"
"","period should not exceed 14 days."
"11.","In the event that any licensee who has received a notice of the type referred to in paragraph 9 above has failed to"
"","act in the manner specified in that notice or before the date on which such notice has been extended, the license"
"","issued to that place shall be revoked by the Chairman. Must be legal."
"12.","All permits issued under this by-law shall expire on or after 31st December of the year in which the license was"
"","issued, unless previously revoked."
"13.","It  is  an  offense  to  maintain  a  place  of  sale  of  meat  or  violate  any  of  the  provisions  of  this  by-law  without  a"
"","license  under this  by-law,  and  the  offense  shall  be  committed  by  a  competent  court  of  competent  jurisdiction."
"","Subject  to  a  fine  referred  to  in  subsection  122  (2).  When  a  person  who  has  been  found  guilty  of  an  offense"
"","continues  to  pursue  such  violation  or  violation  by  a  court  of  competent  jurisdiction  over  such  offense,  the"
"","Chairman  or  the  Medical  Officer  of  Health  or  the  Public  Health  Inspector  shall  issue  a  written  notice  of  the"
"","violation. Each subsequent day the violation continues should be subject to the additional fine above section."
"14.","Unless otherwise necessary in the case of verses"
"","""Chairman""  shall mean  the  person holding  the  office  of  Chairman  of  this  Pradeshiya  Sabha  or performing  the"
"","functions of that office."
"","""Pradeshiya Sabha"" shall mean Rathnapura Pradeshiya Sabha"
"","""Area"" shall mean the Rathnapura Pradeshiya Sabha authoritative area."
"",""" Medical Officer of Health "" shall mean the person holding the office of any Medical Officer of Health in the"
"","area of the Divisional Council area."
"","""Public Health Inspector"" shall mean the person holding the office of any Public Health Inspector in the area of"
"","the Pradeshiya Sabha."
"","""Authorized officer"" shall mean any officer authorized by the Chairman at the time,"
"","""Licensee"" shall mean an entity / person or persons licensed under this by-law,"
"","""Pesticides"" shall mean Pesticides approved by the Registrar of Pesticides of Sri Lanka,"
"","""Cleaning"" shall mean removing food, food, dirt, grease or any other harmful external substance,"
"","""Biological"" shall mean any biological, chemical, alien substance or other substance which may be harmful to"
"","the safety or appropriateness of food;"
"","""Combustion""  shall  mean 
the 
inclusion  or  occurrence  of  a  combustible  substance 
in  a 
food  or 
food"
"","environment,"
"","Whether  chemical  or physical  means reduce  the number  of microorganisms in  the  environment to  a level  that"
"","does not reduce the safety or appropriateness of food;"
