"","^ixfYdaOk&  mk;",""
"I jk ;Srh","II jk ;Srh","III jk ;Srh"
"fï mkf;a","m
Odk m%{ma;sfha ixfYdaOkh lrkq","l
hd;aul jk"
"j.ka;s wxlh",",nk j.ka;sfha wxlh","Èkh"
"33(1)  iy 33(2) 90(1)  iy  90(2)","","01.04.2018"
"33(3)  iy 33(4)","90(3)  iy  90(5)","01.04.2020"
"34(1)","93(2)","01.04.2018"
"3 5","9 4","01.04.2019"
"4 1","129","01.04.2018"
"42(1)","139(3)","01.04.2018"
"4 4","157","01.04.2018"
"45(1)","158(1)","01.04.2018"
"4 6","159(1)  iy  159(2)","01.04.2018"
"48(1),  (3),  (8)      195","","01.04.2018"
"iy  (9)","",""
"48(2)","195","01.04.2019"
"48(5)","195","01.01.2020"
"48(6)","195","01.04.2020"
"4 9","201(2)(wd)","01.04.2018"
"5 0","203","01.04.2018"
"51(1)(w),  (wd),","m<uqjk  Wmf,aLkfha  1  jk","01.01.2020"
"(we)  iy (wE)","fþofha  ms<sfj,ska  ^1&  jk""",""
"","^1w& jk"" ^2& jk iy",""
"","^3&  jk  Wmfþo",""
"51(2)","m<uqjk  Wmf,aLkfha  2  jk  fþoh","01.01.2020"
"51(3)","m<uqjk  Wmf,aLkfha  3  jk  fþofha","01.01.2020"
"","^1&  jk  Wmfþoh",""
"51(4)(w)","m<uqjk  Wmf,aLkfha  4  jk  fþofha    01.01.2020",""
"","^1&  jk  Wmfþoh",""
"51(4)(wd)","m<uqjk  Wmf,aLkfha  4  jk  fþofha    01.01.2020",""
"","^2&  jk  Wmfþoh",""
