"","","","","","","and","personal"
"","","","","","","Injunction","law"
"","(Hectare)","","","","","",""
"36","0.4036","Department of Irrigation","–","Full","1st Class","–","Land reserved"
"","","","","","","","for the Department"
"","","","","","","","of Irrigation"
"37","0.0475","Department of Irrigation","–","Full","1st Class","–","Land reserved"
"","","","","","","","for the Department"
"","","","","","","","of Irrigation"
"38","0.1133","The State","–","Full","1st Class","–","–"
"39","0.6947","Department of Irrigation","–","Full","1st Class","–","Land reserved"
"","","","","","","","for the Department"
"","","","","","","","of Irrigation"
"40","0.3253","Pradeshiya Sabha - Rajanganaya","–","Full","1st Class","–","Road ."
"41","0.1219","The State","–","Full","1st Class","–","–"
"42","0.2023","The State","–","Full","1st Class","–","–"
"48","0.0548","The State","–","Full","1st Class","–","–"
"50","0.1141","The State","–","Full","1st Class","–","Access Road"
"51","0.0770","The State","–","Full","1st Class","–","–"
"52","0.2024","The State","–","Full","1st Class","–","–"
"54","0.1018","The State","–","Full","1st Class","–","–"
"55","0.0221","The State","–","Full","1st Class","–","–"
"56","0.1530","The State","–","Full","1st Class","–","–"
"58","0.1012","The State","–","Full","1st Class","–","Possessed by"
"","","","","","","","Warshahennadige"
