"4 A","","III ෙක(ටස - (cid:2) ලංකා (cid:7)ජාතා(cid:10)(cid:11)ක සමාජවා(cid:15) ජනරජෙ(cid:19) අ(cid:27) (cid:28)ෙශෂ ගැස(cid:22) ප(cid:24)ය - 2019.11.20","","","",""
"","","PART  III – GAZETTE EXTRA ORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 20.11.2019","","","",""
"","","","SCHEDULE - (Contd.)","","",""
"","","","","","","Particulars 
Particulars"
"","","","","","Class and","regarding 
if"
"","","","National","Extent","Nature","Mortgages 
subject"
"Parcel","Extent","Full Name/s of Owner/s","Identity","Owned","of","Encumbrances 
to any"
"No.","","and Address","Card No.","","Title","pending 
form of"
"","","","","","","Adjudication 
special or"
"","","","","","","and  
personal"
"","","","","","","Injunction 
 law"
"","(Hectare)","","","","",""
"2","9.5572","The State","–","Full","1st Class","– 
Scrub, Estate"
"","","","","","","And canal"
"3","10.2353","The State","–","Full","1st Class","– 
Besama Lake"
"4","0.0206","The State","–","Full","1st Class","– 
Land separated"
"","","","","","","along the canal."
"5","0.1276","The State","–","Full","1st Class","– 
–"
"6","0.2023","The State","–","Full","1st Class","– 
–"
"7","0.0891","The State","–","Full","1st Class","– 
–"
"9","0.0598","The State","–","Full","1st Class","– 
–"
"10","0.0629","The State","–","Full","1st Class","– 
–"
"14","0.0281","The State","–","Full","1st Class","– 
Land separated"
"","","","","","","along the"
"","","","","","","waterway."
"15","0.0174","The State","–","Full","1st Class","– 
Waterway"
"16","0.0350","The State","–","Full","1st Class","– 
 Land separated"
"","","","","","","along the"
"","","","","","","waterway ."
"17","0.0397","The State","–","Full","1st Class","– 
–"
"18","0.0576","The State","–","Full","1st Class","– 
–"
"19","0.0611","The State","–","Full","1st Class","– 
–"
"20","0.0323","The State","–","Full","1st Class","– 
–"
"21","0.1647","The State","–","Full","1st Class","– 
–"
"22","0.0309","The State","–","Full","1st Class","– 
–"
"25","0.1820","The State","–","Full","1st Class","– 
–"
"27","0.0142","The State","–","Full","1st Class","– 
Land separated"
"","","","","","","along the"
"","","","","","","waterway"
"28","0.0047","The State","–","Full","1st Class","– 
Waterway."
"29","0.0128","The State","–","Full","1st Class","– 
 Land separated"
"","","","","","","along the"
"","","","","","","waterway"
"30","0.0338","The State","–","Full","1st Class","– 
–"
"31","0.0805","The State","–","Full","1st Class","– 
–"
"34","0.0683","The State","–","Full","1st Class","– 
–"
"35","0.2706","Pradeshiya Sabha - Rajanganaya","–","Full","1st Class","– 
Road."
"37","0.2586","The State","–","Full","1st Class","– 
–"
"39","0.1300","The State","–","Full","1st Class","– 
–"
"41","0.5487","Pradeshiya Sabha - Rajanganaya","–","Full","1st Class","– 
Road and"
"","","","","","","waterway"
"42","0.0003","Pradeshiya Sabha - Rajanganaya","–","Full","1st Class","– 
Road"
"43","0.5955","The State","–","Full","1st Class","– 
 Possessed by"
"","","","","","","Rathnayake"
