"",",y.","","nrytpdk;","","nrytpdk;"
"","","","&gh","","&gh"
"","",",uj;jpdf;  fy;>  jq;f  Mguzq;fs;  kw;Wk;  fdpa  tsq;fs;  rhh;e;j","","",""
"","","ifj;njhopy;  ,uh[hq;f  mikr;R","","",""
"","","107,650,000
kPz;LtUk; nrytpdk;","","",""
"","","22,000,000
%yjdr;  nrytpdk;","","",""
"5","mikT  tUkhW  :—","","","",""
"","jiyg;G
440",",uj;jpdf;  fy;>  jq;f  Mguzq;fs;  kw;Wk;  fdpa  tsq;fs;  rhh;e;j","","",""
"","","ifj;njhopy;  ,uh[hq;f  mikr;rh;","","",""
"","","epfo;r;rpj;jpl;lk;      01      nray;Kiwr;  nraw;ghLfs;","","24,000,000","3,000,000"
"","","epfo;r;rpj;jpl;lk;   02   mgptpUj;jpr; nraw;ghLfs;","","83,650,000","19,000,000"
"10","","flw;nwhopy;  mikr;R","","",""
"","","996,400,000
kPz;LtUk; nrytpdk;","","",""
"","","363,500,000
%yjdr;  nrytpdk;","","",""
"","mikT  tUkhW  :—","","","",""
"","jiyg;G
151","flw;nwhopy;  mikr;rh;","","",""
"","","epfo;r;rpj;jpl;lk;      01      nray;Kiwr;  nraw;ghLfs;","","240,000,000","86,000,000"
"15","","","","",""
"","","epfo;r;rpj;jpl;lk;   02   mgptpUj;jpr; nraw;ghLfs;","","-","179,500,000"
"","jiyg;G
290","flw;nwhopy;  kw;Wk;  ePuf  ts%yq;fs;  jpizf;fsk;","","",""
"","","epfo;r;rpj;jpl;lk;      01      nray;Kiwr;  nraw;ghLfs;","","756,400,000","98,000,000"
"","","myq;fhu  kPd;fs;>  ed;dPh;  kPd;fs;>  ,why;fis  tsh;j;jy;>","","",""
"20","","flw;nwhopy;  JiwKfq;fs;  mgptpUj;jp>  gyehs;  flw;nwhopy;","","",""
"","","mYty;fs;  kw;Wk;  kPd;  Vw;Wkjp  ,uh[hq;f  mikr;R","","",""
"","","1,306,800,000
kPz;LtUk; nrytpdk;","","",""
