"","Head
2 3
Audit  Service  Commission","",""
"","Programme  01
Operational  Activities","50,520,000","2,200,000"
"","Head
2 4
National  Procurement  Commission","",""
"","Programme  01
Operational  Activities","87,490,000","6,700,000"
"5","Head
2 5
Delimitation  Commission","",""
"","Programme  01
Operational  Activities","","14,070,000                  150,000"
"","Ministry  of  Buddha  Sasana,  Religious  and  Cultural  Affairs","",""
"","Recurrent
4,417,300,000","",""
"","Capital
2,528,700,000","",""
"10","Made  up  as  follows  :-","",""
"","Head 101
Minister  of    Buddha  Sasana,  Religious  and  Cultural  Affairs","",""
"","Programme  01
Operational  Activities","418,600,000","74,200,000"
"","Programme  02
Development  Activities","807,700,000","767,500,000"
"","Head 201
Department  of  Buddhist  Affairs","",""
"15","Programme  01
Operational  Activities","90,000,000","11,700,000"
"","Programme  02
Development  Activities","1,369,300,000","67,000,000"
"","Head 202
Department  of  Muslim  Religious  and  Cultural  Affairs","",""
"","Programme  02
Development  Activities","156,900,000","39,100,000"
"","Head 203
Department  of  Christian  Religious    Affairs","",""
"20","Programme  02
Development  Activities","194,000,000","85,000,000"
"","Head 204
Department  of  Hindu  Religious  and  Cultural  Affairs","",""
"","Programme  02
Development  Activities","219,200,000","98,800,000"
