"","35","úÿ,sn,  yd  mqk¾ckkSh  n,Yla;s","","","","",""
"","","wud;Hjrhd","11901","rcfha  ks,Odßkag  w;a;sldrï","7""000""000","2""700""000
23""000""000","-"
"","36","ldka;d yd <ud lghq;= wud;Hjrhd","12001","rcfha  ks,Odßkag  w;a;sldrï","34""000""000","23""000""000
105""000""000","-"
"","37","i
jfoaY  lghq;=  wud;Hjrhd","12101","rcfha  ks,Odßkag  w;a;sldrï","670""000""000","300""000""000
2""300""000""000","-"
"5","38","bvï  yd  md¾,sfïka;=  m%;sixialrK","","","","",""
"","","wud;Hjrhd","12201","rcfha  ks,Odßkag  w;a;sldrï","30""000""000","11""000""000
95""000""000","-"
"","39","ksjdi  yd  bÈlsÍï  wud;Hjrhd","12301","rcfha  ks,Odßkag  w;a;sldrï","13""000""000","6""000""000
55""000""000","-"
"","40","iudc  iún,.ekaùï  wud;Hjrhd","12401","rcfha  ks,Odßkag  w;a;sldrï","16""000""000","4""000""000
45""000""000","-"
"","41","wOHdmk  wud;Hjrhd","12601","rcfha  ks,Odßkag  w;a;sldrï","1""720""000""000","1""070""000""000  3""700""000""000","-"
"10","42","rdcH  mßmd,k""  l<ukdlrK  iy","","","","",""
"","","kS;sh yd iduh ms<sn`o wud;Hjrhd","13001","rcfha  ks,Odßkag  w;a;sldrï","170""000""000","130""000""000
370""000""000","-"
"","43","jeú,s  l¾udka;  wud;Hjrhd","13501","rcfha  ks,Odßkag  w;a;sldrï","20""000""000","8""000""000
  60""000""000","-"
"","44","l÷rg  kj  .ïudk""  há;,  myiqlï","14001","rcfha  ks,Odßkag  w;a;sldrï","16""000""000","7""000""000
45""000""000","-"
"","","yd  m%cd  ixj¾Ok  wud;Hjrhd","","","","",""
"15","45","kej;  mÈxÑlsÍu""  mqkre;a:dmk""","","","","",""
"","","W;=re ixj¾Ok yd  yskaÿ wd.ñl","","","","",""
"","","lghq;=  wud;Hjrhd","14501","rcfha  ks,Odßkag  w;a;sldrï","9""000""000","4""000""000
37""000""000","-"
"","46",";reK  lghq;=""  jHdmD;s  l<ukdlrK","","","","",""
"","","iy  olaIsK  ixj¾Ok  wud;Hjrhd","14801","rcfha  ks,Odßkag  w;a;sldrï","32""000""000","10""000""000
50""000""000","-"
"20","47","l¾udka;  yd  jd‚c  lghq;=","14901","rcfha  ks,Odßkag  w;a;sldrï","45""000""000","15""000""000
150""000""000","-"
"","","wud;Hjrhd","","","","",""
