"H. S.","H. S. Code","Description","Excise  Duty"
"Heading","","",""
"I","II","III","IV"
"24.02","","Cigars,  cheroots,  cigarillos  and  cigarettes,",""
"","","of  tobacco  or  of  tobacco  substitutes.",""
"","2402.20","Cigarettes  containing  tobacco",""
"","2402.20.20","Cigarettes, each not exceeding 60 mm","Rs.  13,360/-  per  1000  cigarettes"
"","","in length",""
"","2402.20.30","Cigarettes, each exceeding 60 mm but","Rs.  22,300/-  per  1000  cigarettes"
"","","not exceeding 67 mm in length",""
"","2402.20.40","Cigarettes, each exceeding 67 mm but not",""
"","","exceeding 72 mm in length","Rs.  37,650/-  per  1000  cigarettes"
"","2402.20.50","Cigarettes, each exceeding 72 mm but not",""
"","","exceeding 84 mm in length","Rs.  43,100/-  per  1000  cigarettes"
"","2402.20.60","Cigarettes, each exceeding 84 mm in length","Rs.  48,350/-  per  1000  cigarettes"
