"","Membership of the Advisory Board of the Uva Province Pre-Childhood Development Authority with effect from 19.12.2019."
"Official  Members  :",""
"1.","Mrs. G. A. M. S. P. Ambanwala (Chairman)"
"2.","Mr. R. M. P. Rathnayaka (Member)"
"3.","Mr. M. Mangala Wijenayake (Member)"
"4.","Mrs. R. H. C. Priyanthi (Member)"
"5.","Mrs. G. W. C. S. Priyabhashini (Member)"
"6.","Dr. Nimal Gamagedara (Member)"
"Appointed  Members  :",""
"1.","Mrs. K. M. H. I. Priyangika (Member)"
"2.","Mr. P. B. W. Sameera Prasad (Member)"
"3.","Mr. W. M. Nimal Weersingha (Member)"
"4.","Mr. W. M. Nilantha Weerathunga (Member)"
"5.","Mr. D. M. Chandrasiri Dissanayaka (Member)"
"6.","Mrs. Ashoka Kusum Darshani (Member)"
"7.","Mrs. R. Mallika (Member)"
"8.","Mrs. Priyangika Udayamalee (Member)"
