"","","","","weia;fïka;=j — 2021","","","","",""
"","","","","w;a;sldrï  .sKqïj,  iSud","","","","",""
"","","","","I","II","III","IV","V",""
"","wkql%ñl wud;HdxYh$fomd¾;fïka;=j","","úIh","rcfha","rcfha","rcfha","rcfha","rcfha",""
"","wxlh","","wxlh","lghq;=","lghq;=","lghq;=","lghq;=j,","lghq;=j,",""
"","","","","","i|yd","m
s
<
s
n|","yr","nerlï","úi¾ck"
"","","","","","úhofuys",".
s
K
q
ïj,g","fYaIhkaf.a","m
s
<
s
n|",""
"","","","","","Wmßu iSud","n
e
r l< hq;=","","Wmßu iSud Wmßu iSud",""
"","","","","","",",eîïj,","","",""
"","","","","","","wju iSud","","",""
"","","","","","re'","re'","re'","re'",""
"","1","w;s.re  ckdêm;s","00101","rcfha  ks,Odßkag  w;a;sldrï","50""000""000","25""000""000","160""000""000","-",""
"","2","w.%dud;H ld¾hd,h","00201","rcfha  ks,Odßkag  w;a;sldrï","21""000""000","10""000""000","77""000""000","-",""
"","3","WmßudêlrKj,  úksYaphldrjre","00401","rcfha  ks,Odßkag  w;a;sldrï","2""000""000","300""000","3""500""000","-",""
"","4","wud;H uKav, ld¾hd,h","00501","rcfha  ks,Odßkag  w;a;sldrï","4""000""000","3""000""000","27""000""000","-",""
"5","5","rdcH fiajd fldñIka iNd ld¾hd,h","00601","rcfha  ks,Odßkag  w;a;sldrï","10""000""000","7""800""000","38""000""000","-",""
