"","திைதியிலிருந்து  பெசீயல்விலுவுக்கு  விரத்தக்ைதாை  இராஜிினாைா  பெசீய்துள்ளிார்ைபெளின  இத்தால்  அறிிவிிக்ைப்பிடுைின்றிது.","",""
"","பெபியர்","","பி
ி
ரதி அகைைச்சீர் பிதவிி"
"1.","பெைௌரவி  அந்சதானிசை  அனில்  ஜியந்த  பிிரனாந்து","-","பெபிாருளிாதார  அபிிவிிருத்தி  பிிரதி  அகைைச்சீர்"
"","அவிர்ைள்,  பிா.உ.","",""
"2.","பெைௌரவி  டிக்ைிாி  பிண்டலாசை  சீரத்  அவிர்ைள்,  பிா.உ.","-","வீடகைைப்பு  பிிரதி  அகைைச்சீர்"
"3.","பெைௌரவி  எம்.எம்.பெைாஹைட்  முனீர்  அவிர்ைள்,  பிா.உ.","-","சதசீிய  ஒருகைைப்பிாட்டு  பிிரதி  அகைைச்சீர்"
"4.","பெைௌரவி  எரங்ை  குணாசசீைர  அவிர்ைள்,  பிா.உ.","-","இகைளிஞர்  விிவிைாரங்ைள்  பிிரதி  அகைைச்சீர்"
"5.","பெைௌரவி  முதித  ஹங்சீை  விிசஜிமுணாி  அவிர்ைள்,  பிா.உ.","-","சுைாதாரம்  ைற்றும்  பெவிகுசீன  ஊடை  பிிரதி  அகைைச்சீர்"
"6.","பெைௌரவி  சஹரத்  முதியன்சசீலாசை  சுசீில்  ரணாசீிங்ஹ,","-","ைாணாி  ைற்றும்  நாீர்ப்பிாசீன  பிிரதி  அகைைச்சீர்"
"","அவிர்ைள்,  பிா.உ.","",""
