"102 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"","v.  
A bowl, dish or dish that is used to divide or divide a particular food should not be stacked on top of one"
"","another without being thoroughly cleaned and the surfaces should be placed wherever possible,"
"","vi.   The containers should not be touched in such a way that the microorganisms can be transferred from the"
"","food processor to the consumer with a spoon, knife, fork or any other container,"
"","vii.   Do not carry a spoon, knife or fork in the pocket of any garment or apron."
"","6. (19)   Every supplier of food in a licensed institution shall not use any other appliance unless it is impracticable to use"
"","a sanitary fork or other suitable instrument for the provision of food."
"","6. (20)   No employee of a licensed institution shall wipe any instrument with a gun or other cloth that is not clean or in"
"","some way unworthy of wiping."
"6. (21)   Cloth used for table wipes must be cleaned and replaced at least three times a day.",""
"6. (22)   The Licensee shall operate the premises in accordance with the following requirements:",""
"","(A)   All  cooked  foods  which  are  easily  decomposed  shall  be  maintained  at  temperatures  not  exceeding  4"
"","degrees  Celsius,  or  at  temperatures  not  less  than  60  degrees  Celsius  except  in  the  following  cases:"
"","Otherwise,"
"","i.   When the entire collection is not exposed or displayed for sale for more than two hours, or"
"","ii.  During the time between preparation and serving;"
"","(B)   Pastries, patties, sauces, pizzas and similar dishes containing all cooked meat or fish, which are generally"
"","eaten  in  the  same  condition  as  that  sold,  shall  be  stored  in  covered  containers.  Otherwise,  it  should  be"
"","stored  separately in  foods  that are  not in  a  sealed container  or completely covered  in a  container, or  in a"
"","container;"
"","(C)   Milk  should  not  be  kept  in  a  feeder  premises  unless  it  is  stored  in  a  refrigerator  at  temperatures  not"
"","exceeding 7 degrees Celsius."
"","(D)   All  fruits  and  vegetables  that  may  be  eaten  at  the  time  of  delivery  shall  be  washed  and  cleaned  before"
"","being delivered to the consumer;"
"","(E)   Any food shall be placed directly on the ground and shall be placed on a platform of suitable material at"
"","least  45  cm  height  above  the  floor  where  it can  be cleaned  under the  platform  where  it  is  displayed and"
"","stored and its platform should be lowered to the ends The distance should be 23 cm. The platform must be"
"","located at least 23 cm away from the wall, except that the rats or any type of insect must be covered under"
"","the platform;"
"","(F)   Vegetable  vegetables  should  be  kept  in  well-ventilated,  adequate  lighting,  without  any  mice,  or  in  any"
"","other room or refrigerator or cooler room."
"6. (23)","In accordance with the nature of the food operations undertaken, where necessary, for cooking, heating, cooling,"
"","freezing, storing, refrigerating or freezing foods; Sufficient facilities should be provided to ensure the safety and"
"","suitability of the food and to regulate the temperature."
"","6. (24)   The Institute shall have adequate, appropriate and conveniently located clothing change points and water printed"
"","toilets  and  comply  with  toilet  hygiene  standards.  These  locations  should  be  well  lit  and  ventilated.  These"
"","locations should not be directly open to food handling areas. Washing hands with hot or cold water should be"
"","equipped with cleaners and a hand drying system should be provided next to the toilet."
"","6. (25)   Facilities shall be adequately equipped for hand washing and drying, with facilities for disinfection of hands, if"
"","necessary."
"","6. (26)   The equipment and equipment used shall be adequately equipped for cleaning and disinfection. These facilities"
"","should  be  made  of  stainless  materials  and  should  be  easily  washable.  Further,  suitable  equipment  should  be"
"","equipped with sufficient quantities of hot and cold water to clean the equipment if necessary."
"","6. (27)   The Licensed Institution shall have adequate and appropriate lighting everywhere. At any point in the product,"
"","the bulbs and fixtures that hang over the foodstuff must be in safety condition and should be covered with bulbs"
"","to prevent food from breaking."
