"94 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"17.","A standard weighted or unbalanced balance shall be placed wherever the license is found, with the assistance"
"","of one or the other, when a customer discloses the need to check the quantity of the goods or materials he or"
"","she has purchased. Weighing capability should be maintained."
"18.","Every person dealing with food related to the premises should ensure that the area medical officer is in good"
"","health  before  being  employed  and  such  certificate must  be  in the  format  specified  in  the  second  schedule  of"
"","this by-law. The medical examination of a person dealing with food consumption shall be conducted from time"
"","to time as determined by the Medical Officer of Health of the relevant area and from time to time as specified"
"","clinically or as epidemiologically."
"19.","Every  person  working  in  licensed  premises must  be  of  the highest personal hygiene  at the time  of  his  work,"
"","wearing helmets, gloves, face masks and shoes, and wearing appropriate protective clothing."
"20.","Persons operating in licensed premises should wash their hands with disinfectant water before starting work or"
"","resuming after using the toilet or touching any raw material or impurity."
"21.","Gloves used in operating in licensed premises shall be in good and clean hygiene."
"22.","A person who has a cut or injury should not touch the same wound, waterproof cover, or hold for sale."
"23.","The premises should have adequate first aid facilities."
"24.","Any material placed on the premises for sale, directly or indirectly, that is contaminated or suspected to have"
"","been infected, or is a vector of such diseases or infected with wounds, skin infections, ulcers and diarrhea The"
"","Licensee  shall always  ensure  that  the  work is not  carried  out  for  marketing  or  use purposes  Permits  must  be"
"","reported to the scorer that he was so ill person in compliance with."
"25.","Every person dealing with food consuming food, eating unsafe food, smoking, spitting, chewing gum, chewing"
"","gum, and coughing, sneezing, touching the nose or engaging in any harmful Activity should not be done."
"26.","Everyone in the premises,"
