"","","Head  Unit/Ministry/Department","Provision of the Constitution","Expenditure","Recurrent","Capital","Total"
"","No.","or Institution by whom","and Law under which","Programme","Expenditure","Expenditure","Expenditure"
"","","expenditure is incurred","expenditure is authorized","","Rs.","Rs.","Rs."
"","1","His Excellency the President  Article  36 of the","","Programme 01-","","",""
"","","","Constitution","Operational","","",""
"","","","","","7,020,000","","7,020,000"
"","","","","Activities","","",""
"","4","Judges of the Superior","Article  108 of the","Programme 01-","","",""
"5","","Courts","Constitution","Operational","","",""
"","","","","","132,000,000","","132,000,000"
"","","","","Activities","","",""
"","6","Office of the Public Service","Chapter IX of the","Programme 01-","","",""
"","","Commission","Constitution","Operational","","",""
"","","","","","10,260,000","","10,260,000"
"","","","","Activities","","",""
"10","7","","Judicial Service Commission  Chapter  XVA of the","Programme 01-","","",""
"","","","Constitution","Operational","","",""
"","","","","","3,850,000","","3,850,000"
"","","","","Activities","","",""
"","8","National Police Commission","Chapter  XVIIIA  of the","Programme 01-","","",""
"","","","Constitution","Operational","","",""
"","","","","","8,100,000","","8,100,000"
"15","","","","Activities","","",""
"","10","Commission  to Investigate","Anti-Corruption Act, No. 9","Programme 01-","","",""
"","","Allegations of Bribery or","of  2023","Operational","","",""
"","","","","","21,600,000","","21,600,000"
"","","Corruption","","Activities","","",""
