"","","","","","of the","Accounts of","of the","of the","",""
"","","","","","Government","Activities of the  Government","","Government","",""
"","","","","","","Government","","","",""
"","","","","","Rs.","Rs.","Rs.","Rs.","",""
"","72","Department of Registration of","22701","Advances to Public","","","","","",""
"","","","","","91,000,000","61,000,000","189,000,000","","-",""
"","","Persons","","Officers","","","","","",""
"","73","Courts Administration","22801","Advances to Public","","","","","",""
"","","","","","650,000,000","560,000,000","2,746,000,000","","-",""
"","","","","Officers","","","","","",""
"5","74","Attorney General's Department","22901","Advances to Public","","","","","",""
"","","","","","46,000,000","28,000,000","165,000,000","","-",""
"","","","","Officers","","","","","","Appropriation"
"","75","Legal Draftsman's Department","23001","Advances to Public","","","","","",""
"","","","","","15,000,000","7,000,000","30,000,000","","-",""
"","","","","Officers","","","","","",""
"","76","Department of Debt","23101","Advances to Public","","","","","",""
"","","","","","7,000,000","3,000,000","10,000,000","","-",""
"10","","Conciliation Board","","Officers","","","","","",""
"","77","Department of Prisons","23201","Advances to Public","","","","","",""
"","","","","Officers","373,000,000","182,000,000","700,000,000","","-",""
"","78","Department of Prisons","23202","Prisons Industrial and","","","","","",""
"","","","","Agricultural Under-","","","","","",""
"","","","","takings","250,000,000","300,000,000","75,000,000","","15,000,000",""
"15","","","","","","","","","",""
"","79","Department of Government","23301","Advances to Public","","","","","",""
"","","Analyst","","Officers","20,000,000","10,000,000","50,000,000","","-",""
"","80","Office of the Registrar of the","23401","Advances to Public","","","","","",""
"","","Supreme Court","","Officers","35,000,000","21,000,000","93,000,000","","-",""
